topic,n_questions,n_miscomm,miscomm_rate
machine-learning,53521,7039.0,0.13151846938584855
visual-studio-2010,45667,5954.0,0.13037861037510676
windows,164410,21433.0,0.13036311659874703
debugging,51219,6661.0,0.13004939573205257
jsp,50776,6603.0,0.13004175200882306
python-3.x,334600,43277.0,0.1293395098625224
sqlite,93785,12048.0,0.1284640400916991
maven,87085,11131.0,0.12781764942297755
qt,84762,10823.0,0.12768693518321889
validation,66475,8465.0,0.12734110567882662
xml,211734,26947.0,0.12726817610775784
selenium,98094,12469.0,0.12711276938446797
hibernate,92840,11785.0,0.1269388194743645
web-scraping,50647,6418.0,0.12672024009319408
xaml,62218,7882.0,0.1266835963868977
django,305163,38614.0,0.12653565471567654
visual-studio,113480,14288.0,0.12590764892492068
ios,668615,83886.0,0.12546233632209866
css,797816,100062.0,0.12541989631694525
.net-core,44769,5551.0,0.1239920480689763
wcf,49255,6102.0,0.12388589990863871
http,66409,8195.0,0.1234019485310726
spring-mvc,57214,7035.0,0.12295941552766805
spring,206640,25374.0,0.12279326364692218
unit-testing,83378,10210.0,0.1224543644606491
xcode,154984,18883.0,0.12183838331698756
iphone,216848,26361.0,0.12156441378292629
eclipse,122104,14814.0,0.12132280678765642
android-layout,57721,6959.0,0.12056270681381126
github,56654,6827.0,0.12050340664383803
selenium-webdriver,56146,6763.0,0.12045381683468101
ruby-on-rails,332737,39921.0,0.11997763999795634
firebase,138939,16655.0,0.1198727499118318
scala,110746,13220.0,0.1193722572372817
android,1369762,163494.0,0.11935942156374611
pdf,49715,5921.0,0.11909886352207583
codeigniter,68606,8163.0,0.11898376235314695
postgresql,176386,20925.0,0.11863186420690984
rest,89379,10538.0,0.11790241555622685
authentication,72662,8552.0,0.11769563182956704
web-services,57671,6768.0,0.11735534324010334
laravel-5,42963,5040.0,0.11731024369806578
laravel,209277,24514.0,0.11713661797521945
express,92250,10802.0,0.11709485094850948
email,57965,6764.0,0.11669110670232037
xamarin,49891,5817.0,0.11659417530215871
angularjs,256144,29856.0,0.11655943531763382
node.js,455448,52683.0,0.11567291985034515
matplotlib,71474,8246.0,0.11537062428295604
ruby-on-rails-3,55091,6274.0,0.11388430052095623
curl,42847,4876.0,0.11380026606296824
go,72768,8279.0,0.11377253737906773
google-app-engine,46097,5230.0,0.11345640714146257
typescript,227271,25762.0,0.1133536614878273
twitter-bootstrap,101416,11460.0,0.11299992111698351
spring-boot,145552,16387.0,0.11258519292074311
angular,298217,33412.0,0.11203921976279019
powershell,118179,13198.0,0.11167804770729148
flask,53429,5939.0,0.11115686237810926
.htaccess,71696,7956.0,0.11096853380941754
svg,43400,4812.0,0.11087557603686636
r,503030,55511.0,0.11035325924895135
kotlin,94416,10399.0,0.11014023046941196
google-cloud-platform,49327,5431.0,0.11010197255053014
reactjs,458000,50369.0,0.1099759825327511
testing,48773,5361.0,0.10991737231665061
symfony,72646,7980.0,0.10984775486606282
pandas,286913,31503.0,0.10979983479312544
macos,114789,12511.0,0.10899127965223149
docker,134308,14608.0,0.10876492837358906
dataframe,147743,16044.0,0.10859397737963897
amazon-s3,49123,5317.0,0.10823850334873684
animation,43240,4673.0,0.10807123034227567
amazon-web-services,153870,16586.0,0.10779229219470982
mongodb,171110,18404.0,0.10755654257495179
elasticsearch,55931,5995.0,0.10718563944860632
ssl,49006,5240.0,0.10692568256948129
apache,89283,9538.0,0.10682884759696695
kubernetes,56513,5949.0,0.1052678144851627
google-chrome,69216,7253.0,0.10478791030975497
android-studio,86762,9078.0,0.10463105968050529
mongoose,45398,4738.0,0.10436583109388078
apache-spark,79214,8221.0,0.10378215971924155
vue.js,105079,10806.0,0.10283691317960772
intellij-idea,43094,4425.0,0.10268250800575486
azure,142509,14531.0,0.10196548989888359
ubuntu,58929,5993.0,0.10169865431281712
ggplot2,57192,5795.0,0.1013253601902364
tensorflow,77841,7861.0,0.10098791125499415
visual-studio-code,58200,5770.0,0.09914089347079037
google-maps,64524,6389.0,0.09901741987477528
wordpress,185036,18271.0,0.09874294731835967
dart,91883,9055.0,0.09854924197076717
gradle,50355,4897.0,0.09724952834872407
hadoop,42753,4128.0,0.09655462774542137
nginx,52050,4944.0,0.09498559077809798
facebook,81844,7702.0,0.09410585992864474
flutter,171345,15677.0,0.09149376987948292
jenkins,48531,4403.0,0.09072551564979085
npm,47505,4261.0,0.08969582149247447
ionic-framework,46391,4157.0,0.08960789808368003
react-native,128353,11015.0,0.08581801749861709
cordova,58229,4835.0,0.08303422693159766
