topic,n_miscomm,n_no_miscomm,n_total,p_value,estimate,ci_lower,ci_upper,p_adj,significant,direction
dictionary,14252,71504,85756,1.7433353422940694e-221,0.16619245300620364,0.03403055735200511,0.039020819621675584,9.423434282670645e-221,TRUE,above_baseline
pandas,31503,255410,286913,5.967214481698825e-218,0.10979983479312544,-0.021018875238507272,-0.018714984213968434,3.1406392008941186e-217,TRUE,below_baseline
javascript,339435,2142948,2482383,1.533785487492991e-217,0.1367375622536893,0.006622513176770407,0.0075190822918816055,7.86556660252816e-217,TRUE,above_baseline
.net,49698,286168,335866,1.9635688029434415e-215,0.14796972602168723,0.017094545634841377,0.0195113773698065,9.817844014717207e-215,TRUE,above_baseline
azure,14531,127978,142509,1.0520427478204475e-211,0.10196548989888359,-0.029278171986026835,-0.02612437725493258,5.131915843026573e-211,TRUE,below_baseline
winforms,16027,82479,98506,4.155770298849026e-208,0.16270074919294256,0.030725120940700495,0.03534284840645803,1.978938237547155e-207,TRUE,above_baseline
object,11014,53686,64700,1.838589552497431e-206,0.1702318392581144,0.037665943652820694,0.043464205824681496,8.55157931394154e-206,TRUE,above_baseline
facebook,7702,74142,81844,6.312815206597639e-201,0.09410585992864474,-0.03756580220609213,-0.033556006975344964,2.8694614575443816e-200,TRUE,below_baseline
file,13257,67309,80566,3.976053238598026e-190,0.1645483206315319,0.032317752540303675,0.037445359684033556,1.7671347727102339e-189,TRUE,above_baseline
for-loop,11915,59857,71772,4.968185640496534e-184,0.1660118151925542,0.03361949288937807,0.03907060845700375,2.1600807132593626e-183,TRUE,above_baseline
ajax,32748,184906,217654,1.816161624803167e-181,0.15045898536208846,0.019284157155606562,0.022300284529843773,7.728347339587945e-181,TRUE,above_baseline
delphi,8957,43209,52166,3.8385933931586724e-179,0.1717018747843423,0.038796086495486264,0.04527413403447173,1.5994139138161135e-178,TRUE,above_baseline
angular,33412,264805,298217,1.2789117402614763e-178,0.11203921976279019,-0.018767641048598373,-0.016487448464547836,5.220047919434597e-178,TRUE,below_baseline
regex,38665,222049,260714,2.108972708449733e-174,0.1483042721142708,0.017266597688967475,0.020008417500847545,8.435890833798931e-174,TRUE,above_baseline
dart,9055,82828,91883,6.130789324667056e-173,0.09854924197076717,-0.03304946875659212,-0.029185576340600122,2.4042311077125709e-172,TRUE,below_baseline
node.js,52683,402765,455448,6.107301774933002e-171,0.11567291985034515,-0.014932501551377174,-0.013055187786659102,2.3489622211280777e-170,TRUE,below_baseline
mongodb,18404,152706,171110,3.1703179098655897e-162,0.10755654257495179,-0.023584416142576694,-0.02063602774624632,1.1963463810813547e-161,TRUE,below_baseline
google-apps-script,9278,45957,55235,9.39362710057899e-158,0.1679732053951299,0.0351858426046308,0.04142703914690239,3.4791211483625886e-157,TRUE,above_baseline
variables,9044,44623,53667,1.0618251840278303e-157,0.1685206924180595,0.03568405057523411,0.04202380522215831,3.8611824873739284e-157,TRUE,above_baseline
if-statement,10227,51789,62016,5.659622635782525e-150,0.16490905572755418,0.032318472009812416,0.038166110406569365,2.0212937984937593e-149,TRUE,above_baseline
npm,4261,43244,47505,4.619551686153361e-148,0.08969582149247447,-0.04254405443595192,-0.03739783161782572,1.6208953284748635e-147,TRUE,below_baseline
vue.js,10806,94273,105079,2.987437948391776e-147,0.10283691317960772,-0.028671364646959897,-0.02498833803255125,1.0301510166868193e-146,TRUE,below_baseline
swing,12987,68113,81100,1.6372746801730107e-146,0.16013563501849568,0.027941267389929886,0.03299647360833488,5.550083661603426e-146,TRUE,above_baseline
ionic-framework,4157,42234,46391,2.8580312821917757e-145,0.08960789808368003,-0.04266145696504723,-0.0374562759063193,9.526770940639252e-145,TRUE,below_baseline
jenkins,4403,44128,48531,1.2729807463236895e-143,0.09072551564979085,-0.04150017747877268,-0.0363823202603722,4.173707364995704e-143,TRUE,below_baseline
amazon-web-services,16586,137284,153870,4.087225236436332e-143,0.10779229219470982,-0.023429886612780282,-0.02031905803652667,1.3184597536891392e-142,TRUE,below_baseline
haskell,8603,42863,51466,4.7156335075455e-141,0.16715890102203396,0.034265755556256404,0.040718517449084925,1.4970265103319046e-140,TRUE,above_baseline
templates,9095,46111,55206,1.4651119294725708e-132,0.1647465855160671,0.03198249621903356,0.03817714577437407,4.5784747796017834e-132,TRUE,above_baseline
sockets,10502,54361,64863,1.5367202620664874e-131,0.1619104882598708,0.02940563489517793,0.035081812585837105,4.728370037127654e-131,TRUE,above_baseline
winapi,7326,36111,43437,5.523130292960687e-129,0.16865805649561433,0.035467326238035946,0.042515257714466126,1.6736758463517232e-128,TRUE,above_baseline
database,28407,163248,191655,5.345687207599365e-128,0.1482194568365031,0.016956193598370365,0.020149191035909227,1.5957275246565268e-127,TRUE,above_baseline
dataframe,16044,131699,147743,9.044788731941064e-128,0.10859397737963897,-0.022665024441159334,-0.019480549838289316,2.660231979982666e-127,TRUE,below_baseline
tensorflow,7861,69980,77841,4.606758374381046e-125,0.10098791125499415,-0.030799879867075938,-0.026557826661662346,1.3352922824292886e-124,TRUE,below_baseline
nginx,4944,47106,52050,1.8704511228515733e-122,0.09498559077809798,-0.0372036061671002,-0.032158741315430416,5.34414606529021e-122,TRUE,below_baseline
asynchronous,8411,42685,51096,6.144716418685548e-122,0.16461171128855487,0.031726746441247775,0.03816314709713538,1.7309060334325487e-121,TRUE,above_baseline
google-maps,6389,58135,64524,1.450248172448256e-118,0.09901741987477528,-0.03295794122559472,-0.028340748063581313,4.0284671456896e-118,TRUE,below_baseline
vb.net,20906,117938,138844,3.5978342069146474e-118,0.150571864826712,0.019019110224364467,0.022791090390332957,9.857080018944238e-118,TRUE,above_baseline
typescript,25762,201509,227271,1.4194883171831818e-117,0.1133536614878273,-0.01762347580272318,-0.015002730260348804,3.8364549113058966e-117,TRUE,below_baseline
t-sql,11629,61919,73548,2.723014173734173e-116,0.1581144286724316,0.025807411293655453,0.031087917012481186,7.261371129957794e-116,TRUE,above_baseline
docker,14608,119700,134308,1.5458866580057945e-114,0.10876492837358906,-0.022572410221161947,-0.01923126207038652,4.068122784225775e-114,TRUE,below_baseline
python,293149,1877464,2170613,7.08211715345025e-113,0.13505355399603705,0.004912420926987037,0.005861158026360481,1.839510948948117e-112,TRUE,above_baseline
matlab,14385,79004,93389,2.256135379863089e-108,0.15403313024017817,0.022047242622904518,0.026685488818725244,5.784962512469459e-108,TRUE,above_baseline
android-studio,9078,77684,86762,1.7435192446916586e-106,0.10463105968050529,-0.027076832574522994,-0.022994577103193012,4.413972771371288e-106,TRUE,below_baseline
visual-studio-code,5770,52430,58200,2.591158109972301e-106,0.09914089347079037,-0.03295759482768577,-0.02809414726946007,6.477895274930753e-106,TRUE,below_baseline
apache-spark,8221,70993,79214,5.304501059594508e-104,0.10378215971924155,-0.02801271512344284,-0.023756494476800637,1.3097533480480266e-103,TRUE,below_baseline
gradle,4897,45458,50355,8.231988015701319e-104,0.09724952834872407,-0.03500870921790846,-0.02982576312336999,2.007801955049102e-103,TRUE,below_baseline
entity-framework,13924,76567,90491,1.00766961739788e-103,0.15387165574477019,0.02185005693317798,0.02655972551763581,2.428119559994892e-103,TRUE,above_baseline
asp.net-mvc,28908,169212,198120,7.80445975107373e-102,0.14591156874621442,0.014684468952246767,0.01780513950145548,1.8582047026366026e-101,TRUE,above_baseline
bash,23086,133135,156221,4.989481888539112e-100,0.14777782756479602,0.016346088919784393,0.019876037171081055,1.173995738479791e-99,TRUE,above_baseline
macos,12511,102278,114789,3.6222177150973575e-96,0.10899127965223149,-0.022483298473794006,-0.018867671260469603,8.42376212813339e-96,TRUE,below_baseline
hadoop,4128,38625,42753,3.345402186520503e-92,0.09655462774542137,-0.03591504251902767,-0.030309231028856177,7.690579739127593e-92,TRUE,below_baseline
apache,9538,79745,89283,1.8923460282538914e-91,0.10682884759696695,-0.02486859344799501,-0.02080724039679767,4.300786427849754e-91,TRUE,below_baseline
exception,8448,44596,53044,2.6545996629529473e-91,0.15926400723927306,0.02648030697882469,0.03271417846099484,5.96539250101786e-91,TRUE,above_baseline
ubuntu,5993,52936,58929,1.2056190357584574e-90,0.10169865431281712,-0.030412205706570144,-0.025524014706522203,2.679153412796572e-90,TRUE,below_baseline
ggplot2,5795,51397,57192,2.3807974675666452e-90,0.1013253601902364,-0.03081819478331588,-0.025864613874937905,5.23252190673988e-90,TRUE,below_baseline
angularjs,29856,226288,256144,5.770469275377033e-86,0.11655943531763382,-0.014357373606226758,-0.011857284797232177,1.254449842473268e-85,TRUE,below_baseline
git,22201,129297,151498,1.484843680127591e-84,0.1465431886889596,0.01509048278646335,0.01866236555272927,3.193212215328152e-84,TRUE,above_baseline
google-chrome,7253,61963,69216,2.390167936257414e-84,0.10478791030975497,-0.02716458478890677,-0.022593123630309877,5.085463694164711e-84,TRUE,below_baseline
spring-boot,16387,129165,145552,2.1882833366770044e-83,0.11258519292074311,-0.01871103350199284,-0.015452109695247528,4.606912287741061e-83,TRUE,below_baseline
uitableview,9838,53685,63523,1.6148715724117406e-79,0.15487303811217984,0.02238962446963723,0.028022922715995865,3.364315775857793e-79,TRUE,above_baseline
oracle-database,22074,129454,151528,2.6994842034704123e-76,0.1456760466712423,0.014227878384778719,0.01779068591897927,5.5659468112792e-76,TRUE,above_baseline
powershell,13198,104981,118179,2.3727051823584254e-75,0.11167804770729148,-0.019789557796525217,-0.016187875827618412,4.842255474200868e-75,TRUE,below_baseline
json,49912,306470,356382,7.064530860105092e-75,0.14005196670987874,0.009237816639903104,0.01153258774112779,1.4271779515363823e-74,TRUE,above_baseline
html,158888,1014506,1173394,6.877874996693955e-73,0.135408907834879,0.0051084495912363465,0.0063758370397950575,1.375574999338791e-72,TRUE,above_baseline
kotlin,10399,84017,94416,4.175175212118779e-71,0.11014023046941196,-0.02152802175862666,-0.017525046341276006,8.26767368736392e-71,TRUE,below_baseline
join,6878,36739,43617,7.802917584424401e-68,0.15769080862966275,0.024601110690241734,0.03144697753035719,1.529983840083216e-67,TRUE,above_baseline
kubernetes,5949,50564,56513,1.1465227278294822e-66,0.1052678144851627,-0.02693284027661526,-0.021865059791785917,2.2262577239407424e-66,TRUE,below_baseline
ms-access,8864,48832,57696,1.2071181281026849e-65,0.1536328341652801,0.0210205969567368,0.026911542335096798,2.3213810155820862e-65,TRUE,above_baseline
laravel,24514,184763,209277,9.02779423698508e-65,0.11713661797521945,-0.013914550925827824,-0.01114574216245987,1.7195798546638247e-64,TRUE,below_baseline
intellij-idea,4425,38669,43094,2.4603251880880903e-62,0.10268250800575486,-0.02985334592127304,-0.024115167105943823,4.6421229963926234e-62,TRUE,below_baseline
ruby-on-rails,39921,292816,332737,2.2757812478901664e-61,0.11997763999795634,-0.0108014427861386,-0.008576806256675305,4.2537967250283486e-61,TRUE,below_baseline
sql-server-2008,8189,45199,53388,1.1002709133962555e-59,0.15338652880797182,0.02066000566960878,0.02677952290760828,2.0375387285115844e-59,TRUE,above_baseline
objective-c,40211,247256,287467,5.325983559156671e-59,0.13988040366372487,0.00893846745516549,0.011488810833557659,9.772446897535177e-59,TRUE,above_baseline
mongoose,4738,40660,45398,7.355756165181622e-58,0.10436583109388078,-0.028116565210267487,-0.02248530164069753,1.3374102118512037e-57,TRUE,below_baseline
excel,40110,246942,287052,2.937670271525252e-57,0.13973078048576565,0.008788498507613814,0.011339533425190899,5.293099588333788e-57,TRUE,above_baseline
symfony,7980,64666,72646,8.708164773579572e-57,0.10984775486606282,-0.022096921221784055,-0.01754109808481688,1.555029423853495e-56,TRUE,below_baseline
elasticsearch,5995,49936,55931,2.6258043746586614e-56,0.10718563944860632,-0.025048410785173607,-0.019913839356340342,4.647441371077277e-56,TRUE,below_baseline
twitter-bootstrap,11460,89956,101416,5.028749653627743e-56,0.11299992111698351,-0.01862001100885172,-0.014713675795907846,8.822367813382004e-56,TRUE,below_baseline
ssl,5240,43766,49006,1.1091468460532622e-50,0.10692568256948129,-0.025480373743007274,-0.02000179015675673,1.9289510366143691e-50,TRUE,below_baseline
forms,16178,95592,111770,1.2314129652478203e-50,0.14474367003668248,0.013009788689014774,0.017144022345623604,2.1231258021514142e-50,TRUE,above_baseline
csv,13122,76477,89599,2.252735127642655e-50,0.14645252737195727,0.014466773813889,0.019104751891298954,3.8508292780216325e-50,TRUE,above_baseline
.htaccess,7956,63740,71696,4.1963449628548235e-50,0.11096853380941754,-0.02100131218767879,-0.016395149232212712,7.112449089584446e-50,TRUE,below_baseline
parsing,8587,48419,57006,4.370897833240625e-50,0.15063326667368349,0.018027119561203522,0.023905884747436865,7.346046778555671e-50,TRUE,above_baseline
amazon-s3,5317,43806,49123,2.6672720730527514e-45,0.10823850334873684,-0.024178981991203777,-0.018677540350049118,4.445453455087919e-45,TRUE,below_baseline
postgresql,20925,155461,176386,5.213169894516833e-43,0.11863186420690984,-0.012549970720931598,-0.009519829903975307,8.61680974300303e-43,TRUE,below_baseline
animation,4673,38567,43240,1.0777948209093522e-40,0.10807123034227567,-0.024525002099377212,-0.018666066254798032,1.766876755589102e-40,TRUE,below_baseline
testing,5361,43412,48773,1.7700182188123219e-38,0.10991737231665061,-0.02252860352392892,-0.01697018088149645,2.878078404572881e-38,TRUE,below_baseline
google-cloud-platform,5431,43896,49327,3.334081173395128e-38,0.11010197255053014,-0.022330417471801037,-0.016799166465865264,5.377550279669561e-38,TRUE,below_baseline
go,8279,64489,72768,3.303588877092397e-37,0.11377253737906773,-0.018205302942240355,-0.013583151338350773,5.285742203347836e-37,TRUE,below_baseline
flask,5939,47490,53429,4.379208381599187e-37,0.11115686237810926,-0.021178595881352742,-0.01584120840115532,6.951124415236804e-37,TRUE,below_baseline
swift,44954,283270,328224,4.815387502065142e-35,0.13696134347275032,0.0061106393140446524,0.008478518592729412,7.583287404826996e-35,TRUE,above_baseline
svg,4812,38588,43400,2.4685470731756426e-31,0.11087557603686636,-0.021748228457294513,-0.01583414850769935,3.8571048018369418e-31,TRUE,below_baseline
datetime,10249,60871,71120,2.4672633322710268e-30,0.14410854893138358,0.01185713370279683,0.017026435121243754,3.825214468637251e-30,TRUE,above_baseline
matplotlib,8246,63228,71474,6.487440841527985e-30,0.11537062428295604,-0.016642125598471846,-0.011950154874342662,9.980678217735362e-30,TRUE,below_baseline
express,10802,81448,92250,7.738963545304885e-30,0.11709485094850948,-0.014651186796294593,-0.010492640345413033,1.1815211519549442e-29,TRUE,below_baseline
shell,13147,79297,92444,8.916337921088598e-30,0.14221582796071136,0.010293505980143254,0.014804620902552882,1.35096029107403e-29,TRUE,above_baseline
iphone,26361,190487,216848,4.938945948168489e-29,0.12156441378292629,-0.00948438335043731,-0.0067203181224366965,7.426986388223292e-29,TRUE,below_baseline
css,100062,697754,797816,1.1036242242762018e-28,0.12541989631694525,-0.004986087760921709,-0.0035076486439143744,1.6472003347405997e-28,TRUE,below_baseline
ruby-on-rails-3,6274,48817,55091,3.2158455199123467e-28,0.11388430052095623,-0.01843859003819938,-0.013126337958614745,4.7642155850553285e-28,TRUE,below_baseline
firebase,16655,122284,138939,2.2871914970028694e-27,0.1198727499118318,-0.011507287237927051,-0.008080741977135923,3.363516907357161e-27,TRUE,below_baseline
rest,10538,78841,89379,1.4439111457135116e-25,0.11790241555622685,-0.013882889908379888,-0.009645808017892991,2.1078994827934478e-25,TRUE,below_baseline
unix,6905,40456,47361,1.685983134174091e-25,0.1457950634488292,0.012947157405475416,0.019309440453456395,2.44345381764361e-25,TRUE,above_baseline
numpy,15980,98110,114090,1.844726927960356e-25,0.14006486107459024,0.008379734752439787,0.0124164583580141,2.654283349583246e-25,TRUE,above_baseline
google-app-engine,5230,40867,46097,4.1286265923841537e-25,0.11345640714146257,-0.019108699854530814,-0.013312014901270623,5.89803798912022e-25,TRUE,below_baseline
tkinter,7570,44750,52320,1.7087373301524298e-24,0.14468654434250763,0.01200241597447507,0.01803714367181361,2.423740893833234e-24,TRUE,above_baseline
scala,13220,97526,110746,2.5431474996994302e-24,0.1193722572372817,-0.012208845154748493,-0.008380169409414684,3.5818978869006056e-24,TRUE,below_baseline
ios,83886,584729,668615,5.7384911068956195e-24,0.12546233632209866,-0.005009839103679974,-0.003399017290849289,8.025861687965902e-24,TRUE,below_baseline
curl,4876,37971,42847,1.5354471772989966e-22,0.11380026606296824,-0.018876482608816456,-0.012856514303973651,2.132565524026384e-22,TRUE,below_baseline
security,7892,47046,54938,1.9187925833137256e-22,0.14365284502530126,0.011050087486344246,0.016922073525531694,2.64661045974307e-22,TRUE,above_baseline
authentication,8552,64110,72662,8.620868873957132e-22,0.11769563182956704,-0.014318095201118241,-0.009624170178474273,1.1809409416379631e-21,TRUE,below_baseline
email,6764,51201,57965,1.5571725991746968e-20,0.11669110670232037,-0.015592762430772544,-0.010358553203313298,2.1186021757478867e-20,TRUE,below_baseline
spring,25374,181266,206640,1.997261930635129e-20,0.12279326364692218,-0.008295023738605637,-0.005451978006276583,2.6990026089663903e-20,TRUE,below_baseline
asp.net,49608,318333,367941,2.4238966386427143e-20,0.13482596394530644,0.004047378268317458,0.0062710205835688326,3.253552535090892e-20,TRUE,above_baseline
xcode,18883,136101,154984,5.926371274913086e-20,0.12183838331698756,-0.009462473779118494,-0.0061942886256329795,7.90182836655078e-20,TRUE,below_baseline
session,6216,36946,43162,7.652720731714953e-19,0.1440155692507298,0.011033704121253908,0.017663905341479123,1.0136053949291329e-18,TRUE,above_baseline
web-services,6768,50903,57671,1.4806510090408246e-18,0.11735534324010334,-0.014941620760418462,-0.009681221798101441,1.948225011895822e-18,TRUE,below_baseline
xamarin,5817,44074,49891,3.83552032809422e-18,0.11659417530215871,-0.015891983646236358,-0.010253194788172807,5.013752062868261e-18,TRUE,below_baseline
eclipse,14814,107290,122104,4.794954592823071e-18,0.12132280678765642,-0.010180285618049621,-0.0065076298453641285,6.2272137569130794e-18,TRUE,below_baseline
date,10730,65984,76714,4.540981141991551e-17,0.13987016711421643,0.007745222511299526,0.012661582678406752,5.859330505795549e-17,TRUE,above_baseline
wpf,22896,144771,167667,5.917538781623867e-17,0.13655638855588756,0.005240464151380674,0.00853878392166786,7.58658818156906e-17,TRUE,above_baseline
codeigniter,8163,60443,68606,8.924967582905875e-17,0.11898376235314695,-0.01310949240563948,-0.008256511926793206,1.136938545593105e-16,TRUE,below_baseline
laravel-5,5040,37923,42963,2.5819753949869667e-14,0.11731024369806578,-0.015402321038279675,-0.00931072060431535,3.268323284793629e-14,TRUE,below_baseline
python-2.7,12807,80275,93082,6.997549270639322e-13,0.13758836294879784,0.005704560879349772,0.01013863597951932,8.801948768099776e-13,TRUE,above_baseline
batch-file,7045,43129,50174,8.295817400768328e-13,0.14041136843783633,0.007701725287757885,0.013787482549188193,1.0369771750960409e-12,TRUE,above_baseline
android-fragments,6248,38048,44296,1.0392461510012765e-12,0.14105111070977064,0.008140087445680217,0.014628604935134475,1.2909890074550018e-12,TRUE,above_baseline
google-sheets,7824,48185,56009,1.7430372458969998e-12,0.13969183524076487,0.007150896434599476,0.012899245008203674,2.1518978344407405e-12,TRUE,above_baseline
pdf,5921,43794,49715,2.4292993521304624e-12,0.11909886352207583,-0.013418336428888572,-0.00771746556568636,2.9807354013870707e-12,TRUE,below_baseline
linux,30106,193676,223782,9.170906459302456e-12,0.1345327148742973,0.0034457383941016136,0.0062861623157664,1.118403226744202e-11,TRUE,above_baseline
android-layout,6959,50762,57721,7.846502786350946e-11,0.12056270681381126,-0.01176387806699256,-0.006444237344111505,9.510912468304177e-11,TRUE,below_baseline
selenium-webdriver,6763,49383,56146,8.521369445319369e-11,0.12045381683468101,-0.011908672750038757,-0.006517222619325807,1.0266710175083579e-10,TRUE,below_baseline
github,6827,49827,56654,8.859570726121654e-11,0.12050340664383803,-0.011847475872840435,-0.006479239878210086,1.0610264342660662e-10,TRUE,below_baseline
listview,7188,44506,51694,2.259066214967987e-10,0.13904901922853716,0.006396547242969958,0.012367962175377771,2.689364541628556e-10,TRUE,above_baseline
image,15149,96232,111381,3.237046667941361e-10,0.1360106301792945,0.004326144931614203,0.008361586388248191,3.8308244591022026e-10,TRUE,above_baseline
unit-testing,10210,73168,83378,6.05396973408695e-10,0.1224543644606491,-0.009441580306638747,-0.004983219810789641,7.122317334219942e-10,TRUE,below_baseline
unity-game-engine,10244,64643,74887,6.820397456038095e-9,0.13679276777010696,0.0046611629511999954,0.00959084355028734,7.977073047997771e-9,TRUE,above_baseline
django,38614,266549,305163,3.1101272799174834e-7,0.12653565471567654,-0.004318374763502834,-0.0019438448438706647,3.6164270696714923e-7,TRUE,below_baseline
asp.net-core,11360,72610,83970,1.3077169594417478e-6,0.135286411813743,0.0033023048867902235,0.007936989701969217,1.511811513805489e-6,TRUE,above_baseline
http,8195,58214,66409,1.591852862622199e-6,0.1234019485310726,-0.008769943091195366,-0.003759688885386019,1.8297159340485043e-6,TRUE,below_baseline
spring-mvc,7035,50179,57214,1.8396515854527543e-6,0.12295941552766805,-0.009401584718622645,-0.004013113264767838,2.1024589548031475e-6,TRUE,below_baseline
jpa,6927,44157,51084,6.67623103148291e-5,0.13560018792576933,0.0029614609756762546,0.008905385837135828,7.58662617213967e-5,TRUE,above_baseline
opencv,9537,61369,70906,1.2982705486026043e-4,0.1345020167545765,0.002320281404963979,0.007350223065462409,1.4669723713023778e-4,TRUE,above_baseline
wcf,6102,43153,49255,1.3602537071565415e-4,0.12388589990863871,-0.00869347874246531,-0.0028682504789838466,1.5283749518612828e-4,TRUE,below_baseline
visual-studio,14288,99192,113480,1.6939304225211817e-4,0.12590764892492068,-0.005694007752598839,-0.0018242234362863877,1.8926596899678007e-4,TRUE,below_baseline
.net-core,5551,39218,44769,3.5571782020395214e-4,0.1239920480689763,-0.008730595212035112,-0.002618837688738864,3.952420224488357e-4,TRUE,below_baseline
xml,26947,184787,211734,0.0010713313004384617,0.12726817610775784,-0.0038245749072616467,-9.726019159492559e-4,0.0011837914921971953,TRUE,below_baseline
user-interface,7574,48948,56522,0.002187319015586597,0.13400091999575386,0.001522545940832102,0.0071457650119490426,0.0024036472698753817,TRUE,above_baseline
ruby,29891,196920,226811,0.002763187880529558,0.13178814078682252,7.227322201022563e-4,0.003520020314816203,0.0030198774650596265,TRUE,above_baseline
network-programming,6200,40090,46290,0.006277631001185688,0.13393821559732125,0.0011658659087093715,0.007377036247206538,0.0068235119578105305,TRUE,above_baseline
hibernate,11785,81055,92840,0.013529515075803848,0.1269388194743645,-0.004873623326895964,-5.822667631016202e-4,0.01462650278465281,TRUE,below_baseline
selenium,12469,85625,98094,0.017486993197324104,0.12711276938446797,-0.00464287180232844,-4.6511846746220093e-4,0.01880321849174635,TRUE,below_baseline
xaml,7882,54336,62218,0.026954243344575638,0.1266835963868977,-0.005600247003861778,-3.6608926106942606e-4,0.02882806774820924,TRUE,below_baseline
web-scraping,6418,44229,50647,0.04862606031128878,0.12672024009319408,-0.005846829342595125,-4.6219509743309316e-5,0.05172985139498806,FALSE,not_significant
rust,5739,37504,43243,0.0593996738372362,0.13271512152255857,-1.521546496753975e-4,0.006248868656065955,0.06285679771136105,FALSE,not_significant
validation,8465,58010,66475,0.07467471997837248,0.12734110567882662,-0.004863375742924348,2.1205806185099632e-4,0.07860496839828682,FALSE,not_significant
django-models,5703,37322,43025,0.07521756474970204,0.13255084253341082,-3.2283736646154587e-4,0.006090993394556597,0.07876184790544716,FALSE,not_significant
