topic,category,n_miscomm,n_no_miscomm,n_total,p_value,estimate,ci_lower,ci_upper,p_adj,significant,direction
pandas,comprehension_failure,14872,272041,286913,2.925433198142766e-178,0.05183452823678258,-0.0139837002501963,-0.012349213410954168,1.5813152422393328e-177,TRUE,below_baseline
regex,comprehension_failure,22078,238636,260714,0,0.08468283252913154,0.01860856397384841,0.020755130949699056,0,TRUE,above_baseline
angularjs,comprehension_failure,14337,241807,256144,5.360970709781392e-76,0.05597242176275845,-0.009924274995082128,-0.008132851614116598,1.2324070597198603e-75,TRUE,below_baseline
typescript,comprehension_failure,12764,214507,227271,5.6956119964757486e-65,0.05616202683140392,-0.009790703570490515,-0.007887212901417263,1.1743529889640717e-64,TRUE,below_baseline
ruby,comprehension_failure,14618,212193,226811,0.28954385371101543,0.06445013689812222,-0.0015662691445230195,4.645728060518387e-4,0.3000454442601196,FALSE,not_significant
linux,comprehension_failure,15011,208771,223782,7.260396680190768e-5,0.0670786747817072,0.0010364935429660051,0.0031188858857327806,8.157749078866032e-5,TRUE,above_baseline
ajax,comprehension_failure,15452,202202,217654,1.5729284804951972e-29,0.07099341156146913,0.004908965688282562,0.0070758872999400705,2.4577007507737455e-29,TRUE,above_baseline
iphone,comprehension_failure,12991,203857,216848,9.793552480353893e-22,0.059908322880543055,-0.0060964286937321395,-0.004088895679897372,1.3891563801920417e-21,TRUE,below_baseline
vba,comprehension_failure,16804,198472,215276,6.048985114363678e-132,0.07805793493004329,0.011919400878668754,0.0141944988467022,2.1603518265584564e-131,TRUE,above_baseline
xml,comprehension_failure,12645,199089,211734,9.76277765532123e-23,0.05972115956813738,-0.006294051824868284,-0.0042655991735725774,1.394682522188747e-22,TRUE,below_baseline
laravel,comprehension_failure,10632,198645,209277,6.544470618466009e-152,0.050803480554480425,-0.015143557648970046,-0.013251451376784726,2.671212497333065e-151,TRUE,below_baseline
spring,comprehension_failure,11080,195560,206640,4.3636934576414093e-97,0.05361982191250484,-0.0123574834382915,-0.010404842871414442,1.2834392522474735e-96,TRUE,below_baseline
asp.net-mvc,comprehension_failure,13501,184619,198120,1.577438559347519e-8,0.06814556834241874,0.0020305266510288033,0.004258639899093046,1.947455011540147e-8,TRUE,above_baseline
database,comprehension_failure,14082,177573,191655,9.659938714967188e-51,0.07347577678641308,0.007302459736158726,0.009647123701951813,1.8576805221090747e-50,TRUE,above_baseline
wordpress,comprehension_failure,8791,176245,185036,2.130244040349626e-203,0.04750967379320781,-0.018465642166259358,-0.01651698038204065,1.3314025252185163e-202,TRUE,below_baseline
string,comprehension_failure,16849,167705,184554,0,0.09129577251102658,0.024976960853568528,0.02761261403376901,0,TRUE,above_baseline
postgresql,comprehension_failure,10025,166361,176386,1.0313585462183617e-43,0.05683557651967843,-0.009250445578911581,-0.007080371516447178,1.858303686879931e-43,TRUE,below_baseline
flutter,comprehension_failure,6599,164746,171345,0,0.038512941725757976,-0.027404578354633592,-0.025571508328566077,0,TRUE,below_baseline
mongodb,comprehension_failure,8353,162757,171110,1.6382017614098929e-161,0.0488165507568231,-0.017210248166476014,-0.015158620454593413,7.800960768618537e-161,TRUE,below_baseline
wpf,comprehension_failure,11446,156221,167667,6.534635462450301e-8,0.06826626587223485,0.0020540238761346643,0.004476537733619407,7.779327931488454e-8,TRUE,above_baseline
windows,comprehension_failure,10585,153825,164410,0.31008901825631896,0.06438172860531598,-0.001809756128433799,5.712432043501311e-4,0.31804001872442966,FALSE,not_significant
bash,comprehension_failure,11881,144340,156221,9.9560166213304e-70,0.07605251534684837,0.009733293735096158,0.012369766823884961,2.118301408793702e-69,TRUE,above_baseline
xcode,comprehension_failure,8783,146201,154984,3.6930430893347e-40,0.056670365973261756,-0.009485993877541905,-0.007175244310650204,6.422683633625565e-40,TRUE,below_baseline
amazon-web-services,comprehension_failure,7498,146372,153870,4.498935887077796e-147,0.048729446935724965,-0.01735187586050596,-0.015191200402759729,1.7995743548311183e-146,TRUE,below_baseline
oracle-database,comprehension_failure,10845,140683,151528,4.752229244282189e-25,0.07157093078506943,0.005268246838532607,0.007871644596890633,7.146209389898028e-25,TRUE,above_baseline
git,comprehension_failure,11455,140043,151498,1.5226684649803638e-62,0.07561155922850467,0.009275609747134811,0.011945538575158903,3.1074866632252324e-62,TRUE,above_baseline
dataframe,comprehension_failure,7812,139931,147743,2.5849266285428454e-79,0.052875601551342535,-0.013270797521753511,-0.01097996951027704,6.462316571357113e-79,TRUE,below_baseline
spring-boot,comprehension_failure,6914,138638,145552,8.963501531851474e-161,0.04750192371111355,-0.018596324363382585,-0.016401798349105934,4.1690704799309184e-160,TRUE,below_baseline
azure,comprehension_failure,6520,135989,142509,3.8084758574157653e-190,0.045751496396718806,-0.020338846399641453,-0.018160130941636557,2.240279916126921e-189,TRUE,below_baseline
list,comprehension_failure,12517,128920,141437,3.4164181894010944e-279,0.08849876623514356,0.022014279568003302,0.024981282767568204,3.1058347176373587e-278,TRUE,above_baseline
multithreading,comprehension_failure,14050,125286,139336,0,0.10083539071022564,0.034250254454109924,0.03741855683162573,0,TRUE,above_baseline
firebase,comprehension_failure,7073,131866,138939,2.675060529853747e-100,0.0509072326704525,-0.015253799393203166,-0.01293370540060745,8.10624402985984e-100,TRUE,below_baseline
vb.net,comprehension_failure,9957,128887,138844,4.816930739291366e-24,0.07171357782835412,0.005351823207930719,0.008073362314061902,7.13619368783906e-24,TRUE,above_baseline
docker,comprehension_failure,6158,128150,134308,1.4726152149006444e-177,0.0458498376865116,-0.020274141187322427,-0.01802815357436999,7.750606394213919e-177,TRUE,below_baseline
react-native,comprehension_failure,4725,123628,128353,0,0.03681254041588432,-0.029223360237985156,-0.02715352906496183,0,TRUE,below_baseline
eclipse,comprehension_failure,7123,114981,122104,4.2665282129068086e-21,0.058335517263971695,-0.007983821903343048,-0.0053471137034291835,6.009194666065927e-21,TRUE,below_baseline
algorithm,comprehension_failure,16442,104210,120652,0,0.136276232470245,0.06933682513159373,0.07321366967418066,0,TRUE,above_baseline
powershell,comprehension_failure,6098,112081,118179,1.2636479223876059e-77,0.05159969199265521,-0.014666431336186607,-0.012136154813218593,3.044934752741219e-77,TRUE,below_baseline
macos,comprehension_failure,5707,109082,114789,1.3726962843118944e-97,0.049717307407504206,-0.016545002548515937,-0.014022352771191274,4.0976008486922224e-97,TRUE,below_baseline
numpy,comprehension_failure,8674,105416,114090,2.711315832378818e-51,0.07602769743185205,0.009485571818691963,0.012567852910296506,5.3163055536839567e-51,TRUE,above_baseline
visual-studio,comprehension_failure,7169,106311,113480,0.012755939498577515,0.06317412759957702,-0.003245760274556955,-4.0795466100461983e-4,0.013790204863327044,TRUE,below_baseline
forms,comprehension_failure,7980,103790,111770,5.1056434726636904e-18,0.07139661805493425,0.004882851516767824,0.007908414458385046,6.994032154333823e-18,TRUE,above_baseline
image,comprehension_failure,7693,103688,111381,3.934595874853634e-8,0.06906923083829379,0.0025757742818371607,0.005560717260034799,4.740476957654981e-8,TRUE,above_baseline
function,comprehension_failure,9911,100956,110867,1.3744727298752946e-236,0.08939540169752948,0.022712027088548584,0.02607680617179475,9.47912227500203e-236,TRUE,above_baseline
scala,comprehension_failure,6734,104012,110746,1.5985837249463203e-8,0.06080580788470916,-0.005606126859785545,-0.0027842275055117638,1.961452423247019e-8,TRUE,below_baseline
vue.js,comprehension_failure,5301,99778,105079,2.405559282504886e-81,0.05044775835323899,-0.015880280803378034,-0.01322617262485961,6.090023500012371e-81,TRUE,below_baseline
twitter-bootstrap,comprehension_failure,5951,95465,101416,3.620708803008964e-16,0.058679103888932715,-0.007771739249772657,-0.004872023107077534,4.860011816119415e-16,TRUE,below_baseline
performance,comprehension_failure,9456,91702,101158,1.0004700464339379e-293,0.09347753020028075,0.026679931750008566,0.03027315851583732,9.528286156513694e-293,TRUE,above_baseline
winforms,comprehension_failure,8136,90370,98506,1.5194894343276285e-110,0.08259395366779688,0.015871122130442606,0.019314815070435542,4.823775981992471e-110,TRUE,above_baseline
selenium,comprehension_failure,4945,93149,98094,1.8572962088100765e-76,0.05041083042795686,-0.015962915305315288,-0.013217393973486612,4.370108726611945e-76,TRUE,below_baseline
loops,comprehension_failure,8361,87829,96190,1.5621569374563157e-166,0.08692171743424472,0.020137634600282603,0.023703830133491213,7.810784687281579e-166,TRUE,above_baseline
kotlin,comprehension_failure,5007,89409,94416,3.5792587218697213e-50,0.053031265887137774,-0.013402578545074857,-0.010536859815365217,6.81763566070423e-50,TRUE,below_baseline
sqlite,comprehension_failure,5564,88221,93785,1.9872908238771857e-12,0.05932718451778003,-0.00718897063823162,-0.004158630460923938,2.564246224357659e-12,TRUE,below_baseline
matlab,comprehension_failure,8270,85119,93389,1.995200186571491e-186,0.08855432652667873,0.02172854723845653,0.02537813568018531,1.1401143923265664e-185,TRUE,above_baseline
python-2.7,comprehension_failure,6375,86707,93082,1.658354695509575e-5,0.06848799982810855,0.0018613623803425076,0.005112667141158966,1.906154822424799e-5,TRUE,above_baseline
hibernate,comprehension_failure,5203,87637,92840,2.114905169857263e-28,0.05604265402843602,-0.010441160310315629,-0.00747550176752795,3.2537002613188662e-28,TRUE,below_baseline
shell,comprehension_failure,6784,85660,92444,5.86873975662718e-25,0.07338496819696248,0.006700077709989942,0.010067888549219401,8.759313069592807e-25,TRUE,above_baseline
express,comprehension_failure,4659,87591,92250,3.917740011984987e-71,0.05050406504065041,-0.015913507104503538,-0.013080332948911267,8.51682611301084e-71,TRUE,below_baseline
dart,comprehension_failure,3957,87926,91883,8.509583297998109e-160,0.043065637822012774,-0.02325170847396972,-0.020618986016720353,3.867992408180959e-159,TRUE,below_baseline
entity-framework,comprehension_failure,6651,83840,90491,4.303791544302421e-25,0.07349902200218807,0.006794906669346664,0.010201167200313846,6.5208962792460925e-25,TRUE,above_baseline
csv,comprehension_failure,6018,83581,89599,0.008702112525873348,0.06716592819116285,5.22962153819385e-4,0.003806924093790691,0.009458817962905812,TRUE,above_baseline
rest,comprehension_failure,4772,84607,89379,6.902827145142939e-45,0.05339061748285391,-0.013087538723663335,-0.010133196445344465,1.2783013231746184e-44,TRUE,below_baseline
apache,comprehension_failure,4602,84681,89283,1.2455877850973771e-59,0.051543966936594875,-0.014910721761206874,-0.012003314500318999,2.516338959792681e-59,TRUE,below_baseline
maven,comprehension_failure,5030,82055,87085,4.978404240033989e-18,0.057759660102199004,-0.008793922264388293,-0.005688727665929321,6.8667644690123996e-18,TRUE,below_baseline
android-studio,comprehension_failure,3821,82941,86762,4.4846450505867764e-138,0.04404001751919043,-0.022329866888169507,-0.01959206820816526,1.6609796483654728e-137,TRUE,below_baseline
linq,comprehension_failure,7937,78520,86457,4.112855838891766e-223,0.09180286153810564,0.024874605070505394,0.02872914787099027,2.7419038925945105e-222,TRUE,above_baseline
dictionary,comprehension_failure,7522,78234,85756,1.4466068218966527e-159,0.0877139791967909,0.020817110300459574,0.024608877958406605,6.429363652874012e-159,TRUE,above_baseline
qt,comprehension_failure,5752,79010,84762,7.494526481540958e-4,0.06786059790944055,0.001163550949621865,0.004555674734543604,8.235743386308745e-4,TRUE,above_baseline
asp.net-core,comprehension_failure,5283,78687,83970,0.01439145425689853,0.06291532690246517,-0.0037309591172644345,-4.403572125208561e-4,0.015474681996665084,TRUE,below_baseline
unit-testing,comprehension_failure,4570,78808,83378,9.552949802343415e-33,0.05481062150687232,-0.011738497499662503,-0.008642229621308482,1.5533251711127504e-32,TRUE,below_baseline
facebook,comprehension_failure,3742,78102,81844,1.3364388281483362e-110,0.045721127999609014,-0.02071433175972988,-0.017845382375767715,4.3110929940268906e-110,TRUE,below_baseline
swing,comprehension_failure,6740,74360,81100,9.851257770449258e-97,0.08310727496917386,0.016203861496538692,0.020008718307093408,2.8554370349128285e-96,TRUE,above_baseline
file,comprehension_failure,6690,73876,80566,2.1835440821889432e-95,0.08303750961944245,0.0161285456714129,0.01994450343275638,6.150828400532234e-95,TRUE,above_baseline
class,comprehension_failure,8308,71164,79472,0,0.10453996376082142,0.03740947918034552,0.0416684782065817,0,TRUE,above_baseline
apache-spark,comprehension_failure,3599,75615,79214,2.821041891220233e-110,0.04543388794909991,-0.02102073028968605,-0.018113463946829753,8.815755910063229e-110,TRUE,below_baseline
tensorflow,comprehension_failure,3787,74054,77841,2.938157682440091e-76,0.04865045413085649,-0.017865109994938507,-0.014835951878064139,6.832924842883933e-76,TRUE,below_baseline
sorting,comprehension_failure,6962,69887,76849,2.510547324365695e-181,0.09059324129136358,0.023560485043054604,0.027624027404956928,1.3947485135364974e-180,TRUE,above_baseline
date,comprehension_failure,5265,71449,76714,4.6613266487324025e-5,0.0686315405271528,0.0018387093376756659,0.005422401581914309,5.267035761279551e-5,TRUE,above_baseline
unity-game-engine,comprehension_failure,5243,69644,74887,2.8050645548786665e-8,0.07001215164180699,0.0031809192848278158,0.0068414138640705445,3.420810432778861e-8,TRUE,above_baseline
t-sql,comprehension_failure,5607,67941,73548,5.72433924637177e-35,0.07623592755751346,0.009314488816043201,0.013155396164268099,9.384162698970116e-35,TRUE,above_baseline
go,comprehension_failure,4124,68644,72768,9.027906783642183e-20,0.05667326297273527,-0.010010608152352551,-0.006644836036892532,1.2626443054045012e-19,TRUE,below_baseline
authentication,comprehension_failure,3984,68678,72662,1.153273070950039e-28,0.05482920921527071,-0.011829968399022207,-0.008513583305151999,1.7880202650388203e-28,TRUE,below_baseline
symfony,comprehension_failure,3940,68706,72646,6.68904258112243e-32,0.05423560829226661,-0.012415298069326258,-0.009115455480856141,1.078877835664908e-31,TRUE,below_baseline
for-loop,comprehension_failure,6423,65349,71772,1.9703040416690292e-155,0.08949172379200802,0.02240002819336464,0.026581449255935787,8.38427251774055e-155,TRUE,above_baseline
.htaccess,comprehension_failure,4238,67458,71696,1.6720867343613296e-10,0.05911068957821915,-0.007619393444335565,-0.0041611975339417625,2.130046795364751e-10,TRUE,below_baseline
matplotlib,comprehension_failure,4375,67099,71474,4.058656444143198e-5,0.06121106975963287,-0.005550125573872715,-0.002029705041577166,4.612109595617271e-5,TRUE,below_baseline
datetime,comprehension_failure,4985,66135,71120,3.8136837044895867e-8,0.07009280089988751,0.003212864607545272,0.006970767057514123,4.622646914532832e-8,TRUE,above_baseline
opencv,comprehension_failure,4710,66196,70906,0.12433564853529723,0.06642597241418216,-4.1064513817354494e-4,0.003260619831822244,0.13087963003715497,FALSE,not_significant
google-chrome,comprehension_failure,3566,65650,69216,8.001365107318827e-47,0.05151987979657883,-0.015130914538481139,-0.011831296003076827,1.495582263050248e-46,TRUE,below_baseline
codeigniter,comprehension_failure,3815,64791,68606,2.106030221984986e-23,0.05560738127860537,-0.011111258408547499,-0.00767594916895738,3.0744966744306367e-23,TRUE,below_baseline
perl,comprehension_failure,6459,61574,68033,2.6459216940423278e-219,0.09493922067232079,0.027733327720169162,0.03214314348975679,1.7070462542208565e-218,TRUE,above_baseline
validation,comprehension_failure,4268,62207,66475,0.40555110074384487,0.06420458819104927,-0.0026623797728277023,0.0010695860202106138,0.4138276538202499,FALSE,not_significant
http,comprehension_failure,4005,62404,66409,9.624612826258996e-7,0.060308090770829256,-0.006506182099050463,-0.002879606494006646,1.1256857106735667e-6,TRUE,below_baseline
sockets,comprehension_failure,5346,59517,64863,3.7043938001934996e-72,0.08241986957125018,0.015300208107620318,0.019537560900164418,8.231986222652222e-72,TRUE,above_baseline
object,comprehension_failure,5891,58809,64700,1.5387984041512796e-158,0.09105100463678516,0.023831092686417067,0.028268946452437625,6.690427844135998e-158,TRUE,above_baseline
google-maps,comprehension_failure,3042,61482,64524,1.9179788421109885e-75,0.047145248279709874,-0.019494130060430926,-0.016217343514864948,4.3590428229795195e-75,TRUE,below_baseline
uitableview,comprehension_failure,4578,58945,63523,5.404416825137792e-13,0.07206838467956488,0.005053947552954524,0.009080851671459606,7.064597157042866e-13,TRUE,above_baseline
xaml,comprehension_failure,4011,58207,62218,0.5893986214201851,0.06446687453791507,-0.0024663532746709797,0.0013981322157854915,0.5923604235378744,FALSE,not_significant
if-statement,comprehension_failure,5516,56500,62016,8.533665929649744e-129,0.08894478844169247,0.021701189098914008,0.026186417649755312,2.942643424017153e-128,TRUE,above_baseline
oop,comprehension_failure,6754,55241,61995,0,0.10894426969916929,0.04148869026636533,0.04639787899725763,0,TRUE,above_baseline
ubuntu,comprehension_failure,2603,56326,58929,2.5171780621810637e-93,0.04417179996266694,-0.02249115015711992,-0.01916722005226183,6.896378252550859e-93,TRUE,below_baseline
cordova,comprehension_failure,2219,56010,58229,1.7512280768066223e-152,0.03810815916467739,-0.028451062303285823,-0.025334589502075015,7.296783653360927e-152,TRUE,below_baseline
visual-studio-code,comprehension_failure,2725,55475,58200,1.1214970451649219e-70,0.0468213058419244,-0.019898855946209527,-0.016460502504657297,2.4118216025052083e-70,TRUE,below_baseline
email,comprehension_failure,3097,54868,57965,1.4719445336697018e-29,0.05342879323729837,-0.01340563231867123,-0.00973875134144765,2.3180228876688218e-29,TRUE,below_baseline
android-layout,comprehension_failure,3293,54428,57721,9.94568028493524e-15,0.0570502936539561,-0.009845437696135424,-0.006055945130667999,1.31730864701129e-14,TRUE,below_baseline
ms-access,comprehension_failure,4532,53164,57696,1.1176166444889079e-39,0.07854963948973932,0.011351165180850002,0.015746143663913022,1.9269252491188065e-39,TRUE,above_baseline
web-services,comprehension_failure,3234,54437,57671,3.8169581226230346e-18,0.05607671099859548,-0.010804607431242595,-0.007043940706282069,5.301330725865326e-18,TRUE,below_baseline
spring-mvc,comprehension_failure,2982,54232,57214,8.964769165108175e-36,0.05212011046247422,-0.014704855187923737,-0.01105689402184344,1.4817800272906074e-35,TRUE,below_baseline
ggplot2,comprehension_failure,3226,53966,57192,8.191851279847614e-17,0.056406490418240314,-0.0104878625946199,-0.006701126703615093,1.107006929709137e-16,TRUE,below_baseline
parsing,comprehension_failure,4071,52935,57006,5.562758242950186e-10,0.0714135354173245,0.004296298093345898,0.00852880260658747,7.041466130316691e-10,TRUE,above_baseline
pointers,comprehension_failure,7260,49674,56934,0,0.1275160712403836,0.05977346016999587,0.06525671217605573,0,TRUE,above_baseline
github,comprehension_failure,3360,53294,56654,3.993846885725528e-8,0.05930737458961415,-0.007641102937238809,-0.003746118018248509,4.783050162545542e-8,TRUE,below_baseline
user-interface,comprehension_failure,3919,52603,56522,2.9784330535369726e-5,0.06933583383461307,0.0022383146628844807,0.006431382871626042,3.40392348975654e-5,TRUE,above_baseline
kubernetes,comprehension_failure,2571,53942,56513,8.403461701965487e-79,0.045493957142604353,-0.021227959593384096,-0.01778609625612282,2.07492881530012e-78,TRUE,below_baseline
c++11,comprehension_failure,6940,49569,56509,0,0.12281229538657559,0.05510331205307468,0.060519308585360886,0,TRUE,above_baseline
selenium-webdriver,comprehension_failure,2650,53496,56146,1.5894441446230762e-65,0.047198375663448866,-0.019559511656290385,-0.016045707151527505,3.311341967964742e-65,TRUE,below_baseline
google-sheets,comprehension_failure,3974,52035,56009,1.1538719122756875e-8,0.07095288257244371,0.003823289365908817,0.008080505644262985,1.433381257485326e-8,TRUE,above_baseline
elasticsearch,comprehension_failure,2499,53432,55931,1.6919764569473224e-84,0.04468005220718385,-0.022036001634668536,-0.018605864085679383,4.394744044019019e-84,TRUE,below_baseline
google-apps-script,comprehension_failure,4763,50472,55235,8.161668015386599e-91,0.08623155607857337,0.01888751799915579,0.02357362402327533,2.2058562203747564e-90,TRUE,above_baseline
templates,comprehension_failure,5300,49906,55206,2.989448978340299e-191,0.09600405752997862,0.028543628518045712,0.03346251640719591,1.811787259600181e-190,TRUE,above_baseline
ruby-on-rails-3,comprehension_failure,2772,52319,55091,2.4509931092492284e-44,0.050316748652229945,-0.016512313513060234,-0.012856159317195498,4.497235062842621e-44,TRUE,below_baseline
security,comprehension_failure,4233,50705,54938,2.619085418051025e-30,0.07705049328333759,0.009817385166527824,0.014281631265431728,4.19053666888164e-30,TRUE,above_baseline
variables,comprehension_failure,4877,48790,53667,3.4884529574360717e-130,0.09087521195520525,0.0234403963379691,0.02830805743772577,1.2240185815565163e-129,TRUE,above_baseline
machine-learning,comprehension_failure,3662,49859,53521,0.001344513453800814,0.06842174099886027,0.0012795432618938744,0.005561968601111038,0.0014694136107112723,TRUE,above_baseline
flask,comprehension_failure,2589,50840,53429,3.5418033707661946e-54,0.04845683056018267,-0.01836761200810382,-0.014720697006246461,7.013472021319197e-54,TRUE,below_baseline
sql-server-2008,comprehension_failure,3922,49466,53388,2.3694862243626963e-15,0.07346220124372518,0.006245948772469976,0.010676483580264769,3.159314965816928e-15,TRUE,above_baseline
exception,comprehension_failure,4011,49033,53044,3.9789397221024805e-23,0.07561646934620316,0.008363390658576851,0.012867577899113837,5.72509312532731e-23,TRUE,above_baseline
tkinter,comprehension_failure,4042,48278,52320,6.984543142340428e-30,0.07725535168195719,0.009964408158647268,0.01454432507055148,1.1086576416413376e-29,TRUE,above_baseline
delphi,comprehension_failure,4784,47382,52166,9.494422212558318e-135,0.09170724226507687,0.024227593898087117,0.029184920497351004,3.4525171682030245e-134,TRUE,above_baseline
nginx,comprehension_failure,2223,49827,52050,2.0389852347565477e-94,0.04270893371757925,-0.024031961759538596,-0.020552140940018525,5.663847874323744e-94,TRUE,below_baseline
listview,comprehension_failure,3317,48377,51694,0.4417763475693471,0.064166054087515,-0.0029496805828429936,0.0012798186231573624,0.44623873491853244,FALSE,not_significant
haskell,comprehension_failure,4765,46701,51466,1.0062866037992641e-141,0.09258539618388839,0.02507828524423971,0.03009053698882145,3.870333091535631e-141,TRUE,above_baseline
debugging,comprehension_failure,3286,47933,51219,0.4383438278086035,0.06415587965403463,-0.002969460323252852,0.0012792494966064921,0.44501911452650095,FALSE,not_significant
asynchronous,comprehension_failure,4338,46758,51096,3.6121993312814194e-74,0.08489901362141851,0.01747919262593054,0.022316864482190855,8.117301868048134e-74,TRUE,above_baseline
jpa,comprehension_failure,3254,47830,51084,0.23310420117487754,0.06369900555947068,-0.003422078608511265,8.181195927370053e-4,0.24281687622383077,FALSE,not_significant
jsp,comprehension_failure,3003,47773,50776,8.796610484106494e-8,0.0591421143847487,-0.00791304287794784,-0.0038046984872703807,1.041018992201952e-7,TRUE,below_baseline
web-scraping,comprehension_failure,2697,47950,50647,8.488242927227129e-27,0.05325093292791281,-0.013708044515269444,-0.009792059763620558,1.2959149507216992e-26,TRUE,below_baseline
gradle,comprehension_failure,1959,48396,50355,1.430206382535634e-124,0.038903783139708076,-0.02778902450414392,-0.02440537935115555,4.848157228934353e-124,TRUE,below_baseline
batch-file,comprehension_failure,3479,46695,50174,8.256329342649258e-5,0.06933870131940846,0.002112742167273948,0.006562690336827351,9.224948986200288e-5,TRUE,above_baseline
generics,comprehension_failure,5111,44843,49954,4.7775306983053214e-250,0.10231412899867878,0.034653670697000816,0.03997261716564113,3.9812755819211016e-249,TRUE,above_baseline
xamarin,comprehension_failure,2847,47044,49891,6.763480183356767e-13,0.05706440039285643,-0.009974454106564161,-0.005898715242438603,8.783740497865932e-13,TRUE,below_baseline
pdf,comprehension_failure,2832,46883,49715,3.8260877749537856e-13,0.05696469878306346,-0.01007607881347836,-0.005996493755110337,5.034326019676034e-13,TRUE,below_baseline
