topic,category,n_miscomm,n_no_miscomm,n_total
sqlite,intent_confusion,356.0,93429.0,93785
matlab,intent_confusion,476.0,92913.0,93389
python-2.7,intent_confusion,481.0,92601.0,93082
hibernate,intent_confusion,424.0,92416.0,92840
shell,intent_confusion,656.0,91788.0,92444
express,intent_confusion,349.0,91901.0,92250
dart,intent_confusion,326.0,91557.0,91883
entity-framework,intent_confusion,601.0,89890.0,90491
csv,intent_confusion,422.0,89177.0,89599
rest,intent_confusion,356.0,89023.0,89379
apache,intent_confusion,277.0,89006.0,89283
maven,intent_confusion,486.0,86599.0,87085
android-studio,intent_confusion,272.0,86490.0,86762
linq,intent_confusion,711.0,85746.0,86457
dictionary,intent_confusion,733.0,85023.0,85756
qt,intent_confusion,412.0,84350.0,84762
asp.net-core,intent_confusion,443.0,83527.0,83970
unit-testing,intent_confusion,500.0,82878.0,83378
facebook,intent_confusion,216.0,81628.0,81844
swing,intent_confusion,503.0,80597.0,81100
file,intent_confusion,518.0,80048.0,80566
class,intent_confusion,910.0,78562.0,79472
apache-spark,intent_confusion,324.0,78890.0,79214
tensorflow,intent_confusion,258.0,77583.0,77841
sorting,intent_confusion,468.0,76381.0,76849
date,intent_confusion,324.0,76390.0,76714
unity-game-engine,intent_confusion,268.0,74619.0,74887
t-sql,intent_confusion,639.0,72909.0,73548
go,intent_confusion,385.0,72383.0,72768
authentication,intent_confusion,351.0,72311.0,72662
symfony,intent_confusion,258.0,72388.0,72646
for-loop,intent_confusion,746.0,71026.0,71772
.htaccess,intent_confusion,271.0,71425.0,71696
matplotlib,intent_confusion,220.0,71254.0,71474
datetime,intent_confusion,332.0,70788.0,71120
opencv,intent_confusion,270.0,70636.0,70906
google-chrome,intent_confusion,251.0,68965.0,69216
codeigniter,intent_confusion,297.0,68309.0,68606
perl,intent_confusion,472.0,67561.0,68033
validation,intent_confusion,349.0,66126.0,66475
http,intent_confusion,288.0,66121.0,66409
sockets,intent_confusion,391.0,64472.0,64863
object,intent_confusion,527.0,64173.0,64700
google-maps,intent_confusion,157.0,64367.0,64524
uitableview,intent_confusion,303.0,63220.0,63523
xaml,intent_confusion,284.0,61934.0,62218
if-statement,intent_confusion,576.0,61440.0,62016
oop,intent_confusion,828.0,61167.0,61995
ubuntu,intent_confusion,150.0,58779.0,58929
cordova,intent_confusion,121.0,58108.0,58229
visual-studio-code,intent_confusion,178.0,58022.0,58200
email,intent_confusion,189.0,57776.0,57965
android-layout,intent_confusion,228.0,57493.0,57721
ms-access,intent_confusion,284.0,57412.0,57696
web-services,intent_confusion,181.0,57490.0,57671
spring-mvc,intent_confusion,212.0,57002.0,57214
ggplot2,intent_confusion,134.0,57058.0,57192
parsing,intent_confusion,276.0,56730.0,57006
pointers,intent_confusion,832.0,56102.0,56934
github,intent_confusion,192.0,56462.0,56654
user-interface,intent_confusion,250.0,56272.0,56522
kubernetes,intent_confusion,232.0,56281.0,56513
c++11,intent_confusion,722.0,55787.0,56509
selenium-webdriver,intent_confusion,300.0,55846.0,56146
google-sheets,intent_confusion,194.0,55815.0,56009
elasticsearch,intent_confusion,160.0,55771.0,55931
google-apps-script,intent_confusion,238.0,54997.0,55235
templates,intent_confusion,526.0,54680.0,55206
ruby-on-rails-3,intent_confusion,184.0,54907.0,55091
security,intent_confusion,383.0,54555.0,54938
variables,intent_confusion,468.0,53199.0,53667
machine-learning,intent_confusion,249.0,53272.0,53521
flask,intent_confusion,192.0,53237.0,53429
sql-server-2008,intent_confusion,381.0,53007.0,53388
exception,intent_confusion,411.0,52633.0,53044
tkinter,intent_confusion,296.0,52024.0,52320
delphi,intent_confusion,324.0,51842.0,52166
nginx,intent_confusion,147.0,51903.0,52050
listview,intent_confusion,191.0,51503.0,51694
haskell,intent_confusion,346.0,51120.0,51466
debugging,intent_confusion,195.0,51024.0,51219
asynchronous,intent_confusion,472.0,50624.0,51096
jpa,intent_confusion,306.0,50778.0,51084
jsp,intent_confusion,219.0,50557.0,50776
web-scraping,intent_confusion,176.0,50471.0,50647
gradle,intent_confusion,162.0,50193.0,50355
batch-file,intent_confusion,390.0,49784.0,50174
generics,intent_confusion,776.0,49178.0,49954
xamarin,intent_confusion,144.0,49747.0,49891
pdf,intent_confusion,165.0,49550.0,49715
google-cloud-platform,intent_confusion,166.0,49161.0,49327
wcf,intent_confusion,190.0,49065.0,49255
amazon-s3,intent_confusion,109.0,49014.0,49123
ssl,intent_confusion,174.0,48832.0,49006
testing,intent_confusion,214.0,48559.0,48773
jenkins,intent_confusion,135.0,48396.0,48531
npm,intent_confusion,151.0,47354.0,47505
unix,intent_confusion,317.0,47044.0,47361
recursion,intent_confusion,495.0,46676.0,47171
ionic-framework,intent_confusion,110.0,46281.0,46391
network-programming,intent_confusion,207.0,46083.0,46290
google-app-engine,intent_confusion,126.0,45971.0,46097
visual-studio-2010,intent_confusion,190.0,45477.0,45667
mongoose,intent_confusion,136.0,45262.0,45398
assembly,intent_confusion,494.0,44524.0,45018
.net-core,intent_confusion,281.0,44488.0,44769
android-fragments,intent_confusion,196.0,44100.0,44296
math,intent_confusion,308.0,43966.0,44274
join,intent_confusion,306.0,43311.0,43617
winapi,intent_confusion,334.0,43103.0,43437
svg,intent_confusion,132.0,43268.0,43400
rust,intent_confusion,259.0,42984.0,43243
animation,intent_confusion,127.0,43113.0,43240
session,intent_confusion,240.0,42922.0,43162
intellij-idea,intent_confusion,104.0,42990.0,43094
django-models,intent_confusion,201.0,42824.0,43025
laravel-5,intent_confusion,177.0,42786.0,42963
curl,intent_confusion,157.0,42690.0,42847
hadoop,intent_confusion,137.0,42616.0,42753
javascript,terminology,13091.0,2469292.0,2482383
python,terminology,11600.0,2159013.0,2170613
java,terminology,12933.0,1873161.0,1886094
c#,terminology,9542.0,1594551.0,1604093
php,terminology,8051.0,1438410.0,1446461
android,terminology,7582.0,1362180.0,1369762
html,terminology,6425.0,1166969.0,1173394
jquery,terminology,5338.0,1014531.0,1019869
c++,terminology,6679.0,801506.0,808185
css,terminology,3835.0,793981.0,797816
sql,terminology,3971.0,668024.0,671995
ios,terminology,3565.0,665050.0,668615
mysql,terminology,3820.0,649926.0,653746
r,terminology,2087.0,500943.0,503030
reactjs,terminology,1914.0,456086.0,458000
node.js,terminology,1858.0,453590.0,455448
arrays,terminology,2982.0,413307.0,416289
c,terminology,3703.0,402435.0,406138
asp.net,terminology,1856.0,366085.0,367941
json,terminology,1785.0,354597.0,356382
.net,terminology,1765.0,334101.0,335866
sql-server,terminology,2022.0,332876.0,334898
python-3.x,terminology,1775.0,332825.0,334600
ruby-on-rails,terminology,1184.0,331553.0,332737
swift,terminology,1866.0,326358.0,328224
django,terminology,1367.0,303796.0,305163
angular,terminology,1426.0,296791.0,298217
objective-c,terminology,1634.0,285833.0,287467
excel,terminology,1503.0,285549.0,287052
pandas,terminology,1273.0,285640.0,286913
regex,terminology,1393.0,259321.0,260714
angularjs,terminology,1207.0,254937.0,256144
typescript,terminology,846.0,226425.0,227271
ruby,terminology,984.0,225827.0,226811
linux,terminology,1224.0,222558.0,223782
ajax,terminology,1286.0,216368.0,217654
iphone,terminology,1052.0,215796.0,216848
vba,terminology,1203.0,214073.0,215276
xml,terminology,861.0,210873.0,211734
laravel,terminology,996.0,208281.0,209277
spring,terminology,1007.0,205633.0,206640
asp.net-mvc,terminology,986.0,197134.0,198120
database,terminology,1265.0,190390.0,191655
wordpress,terminology,614.0,184422.0,185036
string,terminology,1256.0,183298.0,184554
postgresql,terminology,672.0,175714.0,176386
flutter,terminology,638.0,170707.0,171345
mongodb,terminology,731.0,170379.0,171110
wpf,terminology,839.0,166828.0,167667
windows,terminology,747.0,163663.0,164410
bash,terminology,721.0,155500.0,156221
xcode,terminology,809.0,154175.0,154984
amazon-web-services,terminology,727.0,153143.0,153870
oracle-database,terminology,872.0,150656.0,151528
git,terminology,819.0,150679.0,151498
dataframe,terminology,632.0,147111.0,147743
spring-boot,terminology,632.0,144920.0,145552
azure,terminology,544.0,141965.0,142509
list,terminology,941.0,140496.0,141437
multithreading,terminology,1169.0,138167.0,139336
firebase,terminology,573.0,138366.0,138939
vb.net,terminology,685.0,138159.0,138844
docker,terminology,567.0,133741.0,134308
react-native,terminology,479.0,127874.0,128353
eclipse,terminology,646.0,121458.0,122104
algorithm,terminology,1641.0,119011.0,120652
powershell,terminology,343.0,117836.0,118179
macos,terminology,387.0,114402.0,114789
numpy,terminology,720.0,113370.0,114090
visual-studio,terminology,543.0,112937.0,113480
forms,terminology,578.0,111192.0,111770
image,terminology,668.0,110713.0,111381
function,terminology,727.0,110140.0,110867
scala,terminology,541.0,110205.0,110746
vue.js,terminology,403.0,104676.0,105079
twitter-bootstrap,terminology,389.0,101027.0,101416
performance,terminology,730.0,100428.0,101158
winforms,terminology,644.0,97862.0,98506
selenium,terminology,511.0,97583.0,98094
loops,terminology,606.0,95584.0,96190
kotlin,terminology,444.0,93972.0,94416
sqlite,terminology,491.0,93294.0,93785
matlab,terminology,671.0,92718.0,93389
python-2.7,terminology,481.0,92601.0,93082
hibernate,terminology,454.0,92386.0,92840
shell,terminology,414.0,92030.0,92444
express,terminology,415.0,91835.0,92250
dart,terminology,342.0,91541.0,91883
entity-framework,terminology,472.0,90019.0,90491
csv,terminology,493.0,89106.0,89599
rest,terminology,382.0,88997.0,89379
apache,terminology,349.0,88934.0,89283
maven,terminology,490.0,86595.0,87085
android-studio,terminology,431.0,86331.0,86762
linq,terminology,562.0,85895.0,86457
dictionary,terminology,568.0,85188.0,85756
qt,terminology,503.0,84259.0,84762
asp.net-core,terminology,408.0,83562.0,83970
unit-testing,terminology,300.0,83078.0,83378
facebook,terminology,293.0,81551.0,81844
swing,terminology,541.0,80559.0,81100
file,terminology,565.0,80001.0,80566
class,terminology,692.0,78780.0,79472
apache-spark,terminology,396.0,78818.0,79214
tensorflow,terminology,413.0,77428.0,77841
sorting,terminology,579.0,76270.0,76849
date,terminology,400.0,76314.0,76714
unity-game-engine,terminology,438.0,74449.0,74887
t-sql,terminology,386.0,73162.0,73548
go,terminology,356.0,72412.0,72768
authentication,terminology,320.0,72342.0,72662
symfony,terminology,306.0,72340.0,72646
for-loop,terminology,435.0,71337.0,71772
.htaccess,terminology,300.0,71396.0,71696
matplotlib,terminology,319.0,71155.0,71474
datetime,terminology,363.0,70757.0,71120
opencv,terminology,504.0,70402.0,70906
google-chrome,terminology,239.0,68977.0,69216
codeigniter,terminology,372.0,68234.0,68606
perl,terminology,337.0,67696.0,68033
validation,terminology,349.0,66126.0,66475
http,terminology,341.0,66068.0,66409
sockets,terminology,464.0,64399.0,64863
object,terminology,485.0,64215.0,64700
google-maps,terminology,280.0,64244.0,64524
uitableview,terminology,431.0,63092.0,63523
xaml,terminology,280.0,61938.0,62218
if-statement,terminology,384.0,61632.0,62016
oop,terminology,584.0,61411.0,61995
ubuntu,terminology,226.0,58703.0,58929
cordova,terminology,191.0,58038.0,58229
visual-studio-code,terminology,195.0,58005.0,58200
email,terminology,243.0,57722.0,57965
android-layout,terminology,302.0,57419.0,57721
ms-access,terminology,287.0,57409.0,57696
web-services,terminology,272.0,57399.0,57671
spring-mvc,terminology,280.0,56934.0,57214
ggplot2,terminology,202.0,56990.0,57192
parsing,terminology,300.0,56706.0,57006
pointers,terminology,568.0,56366.0,56934
github,terminology,269.0,56385.0,56654
user-interface,terminology,312.0,56210.0,56522
kubernetes,terminology,262.0,56251.0,56513
c++11,terminology,469.0,56040.0,56509
selenium-webdriver,terminology,280.0,55866.0,56146
google-sheets,terminology,218.0,55791.0,56009
elasticsearch,terminology,248.0,55683.0,55931
google-apps-script,terminology,249.0,54986.0,55235
templates,terminology,327.0,54879.0,55206
ruby-on-rails-3,terminology,188.0,54903.0,55091
security,terminology,341.0,54597.0,54938
variables,terminology,360.0,53307.0,53667
machine-learning,terminology,454.0,53067.0,53521
flask,terminology,199.0,53230.0,53429
sql-server-2008,terminology,305.0,53083.0,53388
exception,terminology,316.0,52728.0,53044
tkinter,terminology,288.0,52032.0,52320
delphi,terminology,245.0,51921.0,52166
nginx,terminology,190.0,51860.0,52050
listview,terminology,288.0,51406.0,51694
haskell,terminology,421.0,51045.0,51466
debugging,terminology,294.0,50925.0,51219
asynchronous,terminology,290.0,50806.0,51096
jpa,terminology,276.0,50808.0,51084
jsp,terminology,312.0,50464.0,50776
web-scraping,terminology,234.0,50413.0,50647
gradle,terminology,168.0,50187.0,50355
batch-file,terminology,166.0,50008.0,50174
generics,terminology,308.0,49646.0,49954
xamarin,terminology,216.0,49675.0,49891
pdf,terminology,202.0,49513.0,49715
google-cloud-platform,terminology,209.0,49118.0,49327
wcf,terminology,248.0,49007.0,49255
amazon-s3,terminology,222.0,48901.0,49123
ssl,terminology,188.0,48818.0,49006
testing,terminology,200.0,48573.0,48773
jenkins,terminology,174.0,48357.0,48531
npm,terminology,162.0,47343.0,47505
unix,terminology,272.0,47089.0,47361
recursion,terminology,348.0,46823.0,47171
ionic-framework,terminology,160.0,46231.0,46391
network-programming,terminology,277.0,46013.0,46290
google-app-engine,terminology,184.0,45913.0,46097
visual-studio-2010,terminology,209.0,45458.0,45667
mongoose,terminology,179.0,45219.0,45398
assembly,terminology,368.0,44650.0,45018
.net-core,terminology,195.0,44574.0,44769
android-fragments,terminology,285.0,44011.0,44296
math,terminology,469.0,43805.0,44274
join,terminology,231.0,43386.0,43617
winapi,terminology,248.0,43189.0,43437
svg,terminology,178.0,43222.0,43400
rust,terminology,176.0,43067.0,43243
animation,terminology,163.0,43077.0,43240
session,terminology,270.0,42892.0,43162
intellij-idea,terminology,185.0,42909.0,43094
django-models,terminology,200.0,42825.0,43025
laravel-5,terminology,190.0,42773.0,42963
curl,terminology,174.0,42673.0,42847
hadoop,terminology,211.0,42542.0,42753
javascript,referential,18393.0,2463990.0,2482383
python,referential,16947.0,2153666.0,2170613
