topic,n_miscomm,n_no_miscomm,n_total
forms,16178.0,95592.0,111770
image,15149.0,96232.0,111381
function,18313.0,92554.0,110867
scala,13220.0,97526.0,110746
vue.js,10806.0,94273.0,105079
twitter-bootstrap,11460.0,89956.0,101416
performance,18503.0,82655.0,101158
winforms,16027.0,82479.0,98506
selenium,12469.0,85625.0,98094
loops,16044.0,80146.0,96190
kotlin,10399.0,84017.0,94416
sqlite,12048.0,81737.0,93785
matlab,14385.0,79004.0,93389
python-2.7,12807.0,80275.0,93082
hibernate,11785.0,81055.0,92840
shell,13147.0,79297.0,92444
express,10802.0,81448.0,92250
dart,9055.0,82828.0,91883
entity-framework,13924.0,76567.0,90491
csv,13122.0,76477.0,89599
rest,10538.0,78841.0,89379
apache,9538.0,79745.0,89283
maven,11131.0,75954.0,87085
android-studio,9078.0,77684.0,86762
linq,15162.0,71295.0,86457
dictionary,14252.0,71504.0,85756
qt,10823.0,73939.0,84762
asp.net-core,11360.0,72610.0,83970
unit-testing,10210.0,73168.0,83378
facebook,7702.0,74142.0,81844
swing,12987.0,68113.0,81100
file,13257.0,67309.0,80566
class,14959.0,64513.0,79472
apache-spark,8221.0,70993.0,79214
tensorflow,7861.0,69980.0,77841
sorting,13368.0,63481.0,76849
date,10730.0,65984.0,76714
unity-game-engine,10244.0,64643.0,74887
t-sql,11629.0,61919.0,73548
go,8279.0,64489.0,72768
authentication,8552.0,64110.0,72662
symfony,7980.0,64666.0,72646
for-loop,11915.0,59857.0,71772
.htaccess,7956.0,63740.0,71696
matplotlib,8246.0,63228.0,71474
datetime,10249.0,60871.0,71120
opencv,9537.0,61369.0,70906
google-chrome,7253.0,61963.0,69216
codeigniter,8163.0,60443.0,68606
perl,11991.0,56042.0,68033
validation,8465.0,58010.0,66475
http,8195.0,58214.0,66409
sockets,10502.0,54361.0,64863
object,11014.0,53686.0,64700
google-maps,6389.0,58135.0,64524
uitableview,9838.0,53685.0,63523
xaml,7882.0,54336.0,62218
if-statement,10227.0,51789.0,62016
oop,11942.0,50053.0,61995
ubuntu,5993.0,52936.0,58929
cordova,4835.0,53394.0,58229
visual-studio-code,5770.0,52430.0,58200
email,6764.0,51201.0,57965
android-layout,6959.0,50762.0,57721
ms-access,8864.0,48832.0,57696
web-services,6768.0,50903.0,57671
spring-mvc,7035.0,50179.0,57214
ggplot2,5795.0,51397.0,57192
parsing,8587.0,48419.0,57006
pointers,12541.0,44393.0,56934
github,6827.0,49827.0,56654
user-interface,7574.0,48948.0,56522
kubernetes,5949.0,50564.0,56513
c++11,11550.0,44959.0,56509
selenium-webdriver,6763.0,49383.0,56146
google-sheets,7824.0,48185.0,56009
elasticsearch,5995.0,49936.0,55931
google-apps-script,9278.0,45957.0,55235
templates,9095.0,46111.0,55206
ruby-on-rails-3,6274.0,48817.0,55091
security,7892.0,47046.0,54938
variables,9044.0,44623.0,53667
machine-learning,7039.0,46482.0,53521
flask,5939.0,47490.0,53429
sql-server-2008,8189.0,45199.0,53388
exception,8448.0,44596.0,53044
tkinter,7570.0,44750.0,52320
delphi,8957.0,43209.0,52166
nginx,4944.0,47106.0,52050
listview,7188.0,44506.0,51694
haskell,8603.0,42863.0,51466
debugging,6661.0,44558.0,51219
asynchronous,8411.0,42685.0,51096
jpa,6927.0,44157.0,51084
jsp,6603.0,44173.0,50776
web-scraping,6418.0,44229.0,50647
gradle,4897.0,45458.0,50355
batch-file,7045.0,43129.0,50174
generics,9106.0,40848.0,49954
xamarin,5817.0,44074.0,49891
pdf,5921.0,43794.0,49715
google-cloud-platform,5431.0,43896.0,49327
wcf,6102.0,43153.0,49255
amazon-s3,5317.0,43806.0,49123
ssl,5240.0,43766.0,49006
testing,5361.0,43412.0,48773
jenkins,4403.0,44128.0,48531
npm,4261.0,43244.0,47505
unix,6905.0,40456.0,47361
recursion,8662.0,38509.0,47171
ionic-framework,4157.0,42234.0,46391
network-programming,6200.0,40090.0,46290
google-app-engine,5230.0,40867.0,46097
visual-studio-2010,5954.0,39713.0,45667
mongoose,4738.0,40660.0,45398
assembly,9356.0,35662.0,45018
.net-core,5551.0,39218.0,44769
android-fragments,6248.0,38048.0,44296
math,9461.0,34813.0,44274
join,6878.0,36739.0,43617
winapi,7326.0,36111.0,43437
svg,4812.0,38588.0,43400
rust,5739.0,37504.0,43243
animation,4673.0,38567.0,43240
session,6216.0,36946.0,43162
intellij-idea,4425.0,38669.0,43094
django-models,5703.0,37322.0,43025
laravel-5,5040.0,37923.0,42963
curl,4876.0,37971.0,42847
hadoop,4128.0,38625.0,42753
