topic,category,n_questions,n_miscomm,miscomm_rate
google-app-engine,comprehension_failure,46097,2467.0,0.053517582489099075
npm,comprehension_failure,47505,1732.0,0.03645932007157141
java,comprehension_failure,1886094,140759.0,0.07462989649508454
c++,comprehension_failure,808185,84211.0,0.1041976775119558
swing,comprehension_failure,81100,6740.0,0.08310727496917386
excel,comprehension_failure,287052,20383.0,0.07100804035505762
parsing,comprehension_failure,57006,4071.0,0.0714135354173245
recursion,comprehension_failure,47171,4830.0,0.10239341968582391
svg,comprehension_failure,43400,2744.0,0.06322580645161291
rest,comprehension_failure,89379,4772.0,0.05339061748285391
batch-file,comprehension_failure,50174,3479.0,0.06933870131940846
pandas,comprehension_failure,286913,14872.0,0.05183452823678258
mongoose,comprehension_failure,45398,2007.0,0.04420899599101282
dataframe,comprehension_failure,147743,7812.0,0.052875601551342535
.net-core,comprehension_failure,44769,2606.0,0.05820992204427171
python,comprehension_failure,2170613,146253.0,0.06737866215672715
mysql,comprehension_failure,653746,47285.0,0.07232931444322413
jpa,comprehension_failure,51084,3254.0,0.06369900555947068
if-statement,comprehension_failure,62016,5516.0,0.08894478844169247
linux,comprehension_failure,223782,15011.0,0.0670786747817072
regex,comprehension_failure,260714,22078.0,0.08468283252913154
matplotlib,comprehension_failure,71474,4375.0,0.06121106975963287
list,comprehension_failure,141437,12517.0,0.08849876623514356
git,comprehension_failure,151498,11455.0,0.07561155922850467
apache-spark,comprehension_failure,79214,3599.0,0.04543388794909991
r,comprehension_failure,503030,30135.0,0.05990696379937578
python-3.x,comprehension_failure,334600,21511.0,0.06428870292887029
django,comprehension_failure,305163,17102.0,0.05604218073619672
wpf,comprehension_failure,167667,11446.0,0.06826626587223485
animation,comprehension_failure,43240,2504.0,0.05790934320074006
sorting,comprehension_failure,76849,6962.0,0.09059324129136358
qt,comprehension_failure,84762,5752.0,0.06786059790944055
vb.net,comprehension_failure,138844,9957.0,0.07171357782835412
google-maps,comprehension_failure,64524,3042.0,0.047145248279709874
laravel,comprehension_failure,209277,10632.0,0.050803480554480425
node.js,comprehension_failure,455448,23420.0,0.051421896681948326
object,comprehension_failure,64700,5891.0,0.09105100463678516
firebase,comprehension_failure,138939,7073.0,0.0509072326704525
go,comprehension_failure,72768,4124.0,0.05667326297273527
machine-learning,comprehension_failure,53521,3662.0,0.06842174099886027
flask,comprehension_failure,53429,2589.0,0.04845683056018267
kubernetes,comprehension_failure,56513,2571.0,0.045493957142604353
tensorflow,comprehension_failure,77841,3787.0,0.04865045413085649
linq,comprehension_failure,86457,7937.0,0.09180286153810564
c,comprehension_failure,406138,44765.0,0.11022115635572145
string,comprehension_failure,184554,16849.0,0.09129577251102658
angularjs,comprehension_failure,256144,14337.0,0.05597242176275845
c++11,comprehension_failure,56509,6940.0,0.12281229538657559
date,comprehension_failure,76714,5265.0,0.0686315405271528
templates,comprehension_failure,55206,5300.0,0.09600405752997862
ubuntu,comprehension_failure,58929,2603.0,0.04417179996266694
macos,comprehension_failure,114789,5707.0,0.049717307407504206
testing,comprehension_failure,48773,2467.0,0.05058126422405839
uitableview,comprehension_failure,63523,4578.0,0.07206838467956488
math,comprehension_failure,44274,5560.0,0.12558160545692731
class,comprehension_failure,79472,8308.0,0.10453996376082142
express,comprehension_failure,92250,4659.0,0.05050406504065041
javascript,comprehension_failure,2482383,174903.0,0.07045770132973034
spring,comprehension_failure,206640,11080.0,0.05361982191250484
objective-c,comprehension_failure,287467,19802.0,0.06888442847352913
selenium,comprehension_failure,98094,4945.0,0.05041083042795686
http,comprehension_failure,66409,4005.0,0.060308090770829256
json,comprehension_failure,356382,22157.0,0.06217205133817084
powershell,comprehension_failure,118179,6098.0,0.05159969199265521
sqlite,comprehension_failure,93785,5564.0,0.05932718451778003
visual-studio-2010,comprehension_failure,45667,2962.0,0.06486084043182166
perl,comprehension_failure,68033,6459.0,0.09493922067232079
ms-access,comprehension_failure,57696,4532.0,0.07854963948973932
email,comprehension_failure,57965,3097.0,0.05342879323729837
unity-game-engine,comprehension_failure,74887,5243.0,0.07001215164180699
spring-boot,comprehension_failure,145552,6914.0,0.04750192371111355
css,comprehension_failure,797816,56626.0,0.07097626520400693
c#,comprehension_failure,1604093,128178.0,0.07990683831922463
web-services,comprehension_failure,57671,3234.0,0.05607671099859548
windows,comprehension_failure,164410,10585.0,0.06438172860531598
datetime,comprehension_failure,71120,4985.0,0.07009280089988751
visual-studio-code,comprehension_failure,58200,2725.0,0.0468213058419244
android-studio,comprehension_failure,86762,3821.0,0.04404001751919043
wordpress,comprehension_failure,185036,8791.0,0.04750967379320781
unit-testing,comprehension_failure,83378,4570.0,0.05481062150687232
mongodb,comprehension_failure,171110,8353.0,0.0488165507568231
azure,comprehension_failure,142509,6520.0,0.045751496396718806
ruby,comprehension_failure,226811,14618.0,0.06445013689812222
sql-server-2008,comprehension_failure,53388,3922.0,0.07346220124372518
codeigniter,comprehension_failure,68606,3815.0,0.05560738127860537
csv,comprehension_failure,89599,6018.0,0.06716592819116285
network-programming,comprehension_failure,46290,3244.0,0.0700799308705984
typescript,comprehension_failure,227271,12764.0,0.05616202683140392
google-apps-script,comprehension_failure,55235,4763.0,0.08623155607857337
asp.net-core,comprehension_failure,83970,5283.0,0.06291532690246517
html,comprehension_failure,1173394,85353.0,0.07274027308815283
unix,comprehension_failure,47361,3613.0,0.07628639597981461
ios,comprehension_failure,668615,39898.0,0.059672606806607686
pointers,comprehension_failure,56934,7260.0,0.1275160712403836
swift,comprehension_failure,328224,21186.0,0.06454738227551916
sql-server,comprehension_failure,334898,24661.0,0.0736373462964843
amazon-s3,comprehension_failure,49123,2431.0,0.049488019868493376
django-models,comprehension_failure,43025,2524.0,0.05866356769320163
for-loop,comprehension_failure,71772,6423.0,0.08949172379200802
image,comprehension_failure,111381,7693.0,0.06906923083829379
flutter,comprehension_failure,171345,6599.0,0.038512941725757976
jquery,comprehension_failure,1019869,74695.0,0.07323979844470221
debugging,comprehension_failure,51219,3286.0,0.06415587965403463
listview,comprehension_failure,51694,3317.0,0.064166054087515
android-layout,comprehension_failure,57721,3293.0,0.0570502936539561
maven,comprehension_failure,87085,5030.0,0.057759660102199004
ruby-on-rails,comprehension_failure,332737,17700.0,0.05319516615224637
xml,comprehension_failure,211734,12645.0,0.05972115956813738
shell,comprehension_failure,92444,6784.0,0.07338496819696248
function,comprehension_failure,110867,9911.0,0.08939540169752948
android-fragments,comprehension_failure,44296,2791.0,0.06300794654144844
jenkins,comprehension_failure,48531,2025.0,0.041725907152129565
postgresql,comprehension_failure,176386,10025.0,0.05683557651967843
sockets,comprehension_failure,64863,5346.0,0.08241986957125018
assembly,comprehension_failure,45018,4778.0,0.10613532364831844
reactjs,comprehension_failure,458000,23397.0,0.05108515283842795
dart,comprehension_failure,91883,3957.0,0.043065637822012774
laravel-5,comprehension_failure,42963,2147.0,0.04997323278169588
matlab,comprehension_failure,93389,8270.0,0.08855432652667873
asp.net-mvc,comprehension_failure,198120,13501.0,0.06814556834241874
forms,comprehension_failure,111770,7980.0,0.07139661805493425
file,comprehension_failure,80566,6690.0,0.08303750961944245
loops,comprehension_failure,96190,8361.0,0.08692171743424472
google-chrome,comprehension_failure,69216,3566.0,0.05151987979657883
oop,comprehension_failure,61995,6754.0,0.10894426969916929
variables,comprehension_failure,53667,4877.0,0.09087521195520525
ssl,comprehension_failure,49006,2312.0,0.047177896584091744
authentication,comprehension_failure,72662,3984.0,0.05482920921527071
twitter-bootstrap,comprehension_failure,101416,5951.0,0.058679103888932715
.htaccess,comprehension_failure,71696,4238.0,0.05911068957821915
amazon-web-services,comprehension_failure,153870,7498.0,0.048729446935724965
ionic-framework,comprehension_failure,46391,1789.0,0.03856351447479037
tkinter,comprehension_failure,52320,4042.0,0.07725535168195719
kotlin,comprehension_failure,94416,5007.0,0.053031265887137774
opencv,comprehension_failure,70906,4710.0,0.06642597241418216
performance,comprehension_failure,101158,9456.0,0.09347753020028075
xaml,comprehension_failure,62218,4011.0,0.06446687453791507
arrays,comprehension_failure,416289,37870.0,0.09097045562097485
generics,comprehension_failure,49954,5111.0,0.10231412899867878
vba,comprehension_failure,215276,16804.0,0.07805793493004329
cordova,comprehension_failure,58229,2219.0,0.03810815916467739
spring-mvc,comprehension_failure,57214,2982.0,0.05212011046247422
python-2.7,comprehension_failure,93082,6375.0,0.06848799982810855
t-sql,comprehension_failure,73548,5607.0,0.07623592755751346
numpy,comprehension_failure,114090,8674.0,0.07602769743185205
haskell,comprehension_failure,51466,4765.0,0.09258539618388839
asp.net,comprehension_failure,367941,23390.0,0.06356997453396061
bash,comprehension_failure,156221,11881.0,0.07605251534684837
apache,comprehension_failure,89283,4602.0,0.051543966936594875
scala,comprehension_failure,110746,6734.0,0.06080580788470916
ruby-on-rails-3,comprehension_failure,55091,2772.0,0.050316748652229945
elasticsearch,comprehension_failure,55931,2499.0,0.04468005220718385
user-interface,comprehension_failure,56522,3919.0,0.06933583383461307
symfony,comprehension_failure,72646,3940.0,0.05423560829226661
ajax,comprehension_failure,217654,15452.0,0.07099341156146913
iphone,comprehension_failure,216848,12991.0,0.059908322880543055
asynchronous,comprehension_failure,51096,4338.0,0.08489901362141851
nginx,comprehension_failure,52050,2223.0,0.04270893371757925
selenium-webdriver,comprehension_failure,56146,2650.0,0.047198375663448866
angular,comprehension_failure,298217,15583.0,0.052253895653165315
.net,intent_confusion,335866,2345.0,0.006981951135274187
php,intent_confusion,1446461,7805.0,0.005395928407333485
dictionary,intent_confusion,85756,733.0,0.008547506879985074
npm,intent_confusion,47505,151.0,0.0031786127776023574
sql,intent_confusion,671995,4502.0,0.00669945460903727
multithreading,intent_confusion,139336,1522.0,0.010923235918929781
google-app-engine,intent_confusion,46097,126.0,0.0027333665965247195
xamarin,intent_confusion,49891,144.0,0.002886292116814656
shell,intent_confusion,92444,656.0,0.007096187962442127
jenkins,intent_confusion,48531,135.0,0.0027817271434753045
jquery,intent_confusion,1019869,5393.0,0.005287934038587309
ruby-on-rails,intent_confusion,332737,1137.0,0.0034171132155426057
android-layout,intent_confusion,57721,228.0,0.003950035515670206
android-fragments,intent_confusion,44296,196.0,0.004424778761061947
xml,intent_confusion,211734,802.0,0.003787771449082339
listview,intent_confusion,51694,191.0,0.003694819514837312
postgresql,intent_confusion,176386,758.0,0.004297393217148753
reactjs,intent_confusion,458000,1889.0,0.004124454148471616
laravel-5,intent_confusion,42963,177.0,0.004119824034634453
function,intent_confusion,110867,1072.0,0.009669243327590716
sockets,intent_confusion,64863,391.0,0.0060280899742534266
maven,intent_confusion,87085,486.0,0.005580754435321812
dart,intent_confusion,91883,326.0,0.0035479903790690335
assembly,intent_confusion,45018,494.0,0.010973388422408815
debugging,intent_confusion,51219,195.0,0.003807180928952147
regex,intent_confusion,260714,1643.0,0.006301924714438043
python,intent_confusion,2170613,12117.0,0.005582294033989477
list,intent_confusion,141437,1115.0,0.00788336856692379
r,intent_confusion,503030,1618.0,0.003216507961751784
mysql,intent_confusion,653746,3753.0,0.005740761702557262
matplotlib,intent_confusion,71474,220.0,0.0030780423650558246
linux,intent_confusion,223782,1243.0,0.005554512874136436
jpa,intent_confusion,51084,306.0,0.005990133897110641
git,intent_confusion,151498,724.0,0.0047789409761184965
python-3.x,intent_confusion,334600,1965.0,0.005872683801554095
if-statement,intent_confusion,62016,576.0,0.009287925696594427
apache-spark,intent_confusion,79214,324.0,0.004090186078218497
objective-c,intent_confusion,287467,1463.0,0.00508927981298723
javascript,intent_confusion,2482383,13955.0,0.005621614392299658
json,intent_confusion,356382,1660.0,0.004657923239669792
powershell,intent_confusion,118179,527.0,0.004459337107269481
http,intent_confusion,66409,288.0,0.004336761583520306
ms-access,intent_confusion,57696,284.0,0.004922351636161952
spring-boot,intent_confusion,145552,592.0,0.004067274925799714
spring,intent_confusion,206640,905.0,0.004379597367402246
unity-game-engine,intent_confusion,74887,268.0,0.003578725279420994
selenium,intent_confusion,98094,570.0,0.005810752951250841
perl,intent_confusion,68033,472.0,0.0069378095924036865
sqlite,intent_confusion,93785,356.0,0.0037959161912885855
visual-studio-2010,intent_confusion,45667,190.0,0.00416055357260166
email,intent_confusion,57965,189.0,0.003260588286034676
hibernate,intent_confusion,92840,424.0,0.004566996984058595
entity-framework,intent_confusion,90491,601.0,0.006641544462985269
curl,intent_confusion,42847,157.0,0.003664200527458165
winapi,intent_confusion,43437,334.0,0.007689297142988696
facebook,intent_confusion,81844,216.0,0.0026391671961292214
gradle,intent_confusion,50355,162.0,0.0032171581769436996
github,intent_confusion,56654,192.0,0.003388992833692237
winforms,intent_confusion,98506,637.0,0.006466611170893144
docker,intent_confusion,134308,492.0,0.0036632218482890075
xcode,intent_confusion,154984,536.0,0.003458421514478914
android,intent_confusion,1369762,5174.0,0.003777298537994192
algorithm,intent_confusion,120652,873.0,0.007235686105493485
join,intent_confusion,43617,306.0,0.0070156131783478915
react-native,intent_confusion,128353,290.0,0.0022593940149431644
eclipse,intent_confusion,122104,389.0,0.0031858088187119177
security,intent_confusion,54938,383.0,0.006971495139975973
session,intent_confusion,43162,240.0,0.005560446689217367
intellij-idea,intent_confusion,43094,104.0,0.0024133290017171764
database,intent_confusion,191655,1016.0,0.005301192246484569
hadoop,intent_confusion,42753,137.0,0.0032044534886440717
vue.js,intent_confusion,105079,379.0,0.003606810114294959
web-scraping,intent_confusion,50647,176.0,0.0034750330720477026
wcf,intent_confusion,49255,190.0,0.0038574763983351946
exception,intent_confusion,53044,411.0,0.007748284443103839
rust,intent_confusion,43243,259.0,0.005989408690423884
ggplot2,intent_confusion,57192,134.0,0.00234298503287173
visual-studio,intent_confusion,113480,451.0,0.003974268593584773
jsp,intent_confusion,50776,219.0,0.004313061288797857
oracle-database,intent_confusion,151528,1018.0,0.006718230294071063
pdf,intent_confusion,49715,165.0,0.00331891783164035
delphi,intent_confusion,52166,324.0,0.006210941992868918
google-sheets,intent_confusion,56009,194.0,0.003463729043546573
validation,intent_confusion,66475,349.0,0.005250094020308386
google-cloud-platform,intent_confusion,49327,166.0,0.0033652968962231637
java,intent_confusion,1886094,11970.0,0.006346449328612466
pandas,intent_confusion,286913,1149.0,0.004004698288331306
dataframe,intent_confusion,147743,545.0,0.003688838049856846
c++,intent_confusion,808185,7904.0,0.009779938999115301
rest,intent_confusion,89379,356.0,0.003983038521352891
mongoose,intent_confusion,45398,136.0,0.0029957266839948896
parsing,intent_confusion,57006,276.0,0.004841595621513525
excel,intent_confusion,287052,1482.0,0.005162827640984908
svg,intent_confusion,43400,132.0,0.00304147465437788
batch-file,intent_confusion,50174,390.0,0.007772950133535297
swing,intent_confusion,81100,503.0,0.006202219482120838
recursion,intent_confusion,47171,495.0,0.010493735557863941
.net-core,intent_confusion,44769,281.0,0.006276664656347026
arrays,intent_confusion,416289,3480.0,0.008359577120702205
vba,intent_confusion,215276,1311.0,0.006089856742042773
python-2.7,intent_confusion,93082,481.0,0.00516748673212866
xaml,intent_confusion,62218,284.0,0.0045645954546915685
t-sql,intent_confusion,73548,639.0,0.008688203622124326
spring-mvc,intent_confusion,57214,212.0,0.0037053867934421646
performance,intent_confusion,101158,884.0,0.008738804642242828
cordova,intent_confusion,58229,121.0,0.002078002369953116
opencv,intent_confusion,70906,270.0,0.00380785829125885
generics,intent_confusion,49954,776.0,0.015534291548224366
macos,intent_confusion,114789,386.0,0.003362691547099461
uitableview,intent_confusion,63523,303.0,0.00476992585362782
date,intent_confusion,76714,324.0,0.004223479417055557
express,intent_confusion,92250,349.0,0.00378319783197832
angularjs,intent_confusion,256144,1152.0,0.004497470173027672
c++11,intent_confusion,56509,722.0,0.012776725831283512
linq,intent_confusion,86457,711.0,0.008223741281793262
testing,intent_confusion,48773,214.0,0.00438767350788346
c,intent_confusion,406138,4387.0,0.01080174718937898
string,intent_confusion,184554,1522.0,0.00824690876383064
math,intent_confusion,44274,308.0,0.006956678863441298
ubuntu,intent_confusion,58929,150.0,0.002545436033192486
class,intent_confusion,79472,910.0,0.011450573786994161
templates,intent_confusion,55206,526.0,0.009527949860522408
matlab,intent_confusion,93389,476.0,0.005096960027412222
asp.net-mvc,intent_confusion,198120,1329.0,0.006708055723803755
loops,intent_confusion,96190,957.0,0.009949059153758186
forms,intent_confusion,111770,538.0,0.004813456204706093
ssl,intent_confusion,49006,174.0,0.0035505856425743785
file,intent_confusion,80566,518.0,0.006429511208201971
amazon-web-services,intent_confusion,153870,455.0,0.002957041658542926
twitter-bootstrap,intent_confusion,101416,315.0,0.003106018774157924
variables,intent_confusion,53667,468.0,0.008720442730169378
.htaccess,intent_confusion,71696,271.0,0.003779848248158893
oop,intent_confusion,61995,828.0,0.013355915799661264
authentication,intent_confusion,72662,351.0,0.004830585450441772
ionic-framework,intent_confusion,46391,110.0,0.002371149576426462
google-chrome,intent_confusion,69216,251.0,0.0036263291724456773
kotlin,intent_confusion,94416,459.0,0.004861464158617184
tkinter,intent_confusion,52320,296.0,0.005657492354740061
swift,intent_confusion,328224,1759.0,0.005359144974163985
unix,intent_confusion,47361,317.0,0.006693270834652984
ios,intent_confusion,668615,2861.0,0.004278994638169949
html,intent_confusion,1173394,5459.0,0.004652316272283649
sql-server,intent_confusion,334898,2576.0,0.0076918942483980195
pointers,intent_confusion,56934,832.0,0.014613412020936523
django-models,intent_confusion,43025,201.0,0.004671702498547356
for-loop,intent_confusion,71772,746.0,0.01039402552527448
image,intent_confusion,111381,473.0,0.004246684802614449
amazon-s3,intent_confusion,49123,109.0,0.0022189198542434297
flutter,intent_confusion,171345,468.0,0.0027313315241180077
c#,intent_confusion,1604093,11946.0,0.007447199133716062
windows,intent_confusion,164410,840.0,0.005109178273827626
css,intent_confusion,797816,3182.0,0.003988388300059161
visual-studio-code,intent_confusion,58200,178.0,0.003058419243986254
datetime,intent_confusion,71120,332.0,0.004668166479190101
web-services,intent_confusion,57671,181.0,0.003138492483223804
symfony,intent_confusion,72646,258.0,0.003551468766346392
ajax,intent_confusion,217654,1146.0,0.005265237487020684
nginx,intent_confusion,52050,147.0,0.002824207492795389
elasticsearch,intent_confusion,55931,160.0,0.002860667608303088
numpy,intent_confusion,114090,722.0,0.006328337277587869
bash,intent_confusion,156221,1206.0,0.00771983280096786
scala,intent_confusion,110746,614.0,0.0055442183013381975
angular,intent_confusion,298217,1266.0,0.0042452308218512026
asp.net,intent_confusion,367941,1866.0,0.005071465262093651
asynchronous,intent_confusion,51096,472.0,0.009237513699702521
selenium-webdriver,intent_confusion,56146,300.0,0.005343212339258362
apache,intent_confusion,89283,277.0,0.003102494315827201
ruby-on-rails-3,intent_confusion,55091,184.0,0.0033399284819662016
user-interface,intent_confusion,56522,250.0,0.004423056508969959
haskell,intent_confusion,51466,346.0,0.006722885011463879
iphone,intent_confusion,216848,855.0,0.003942853980668487
wpf,intent_confusion,167667,941.0,0.005612314886053904
firebase,intent_confusion,138939,411.0,0.0029581327057197765
vb.net,intent_confusion,138844,902.0,0.0064964996686929215
django,intent_confusion,305163,1283.0,0.004204310483249935
node.js,intent_confusion,455448,1866.0,0.004097064867998103
google-maps,intent_confusion,64524,157.0,0.0024332031492157956
sorting,intent_confusion,76849,468.0,0.006089864539551588
laravel,intent_confusion,209277,815.0,0.0038943601064617707
go,intent_confusion,72768,385.0,0.005290787159190853
tensorflow,intent_confusion,77841,258.0,0.003314448683855552
qt,intent_confusion,84762,412.0,0.0048606686958778695
animation,intent_confusion,43240,127.0,0.002937095282146161
flask,intent_confusion,53429,192.0,0.003593554062400569
machine-learning,intent_confusion,53521,249.0,0.004652379439846041
object,intent_confusion,64700,527.0,0.008145285935085008
kubernetes,intent_confusion,56513,232.0,0.004105250119441545
azure,intent_confusion,142509,413.0,0.0028980625785038137
ruby,intent_confusion,226811,1138.0,0.0050173933363020316
mongodb,intent_confusion,171110,634.0,0.003705218865057565
wordpress,intent_confusion,185036,476.0,0.0025724723837523508
android-studio,intent_confusion,86762,272.0,0.00313501302413499
typescript,intent_confusion,227271,1176.0,0.005174439325738875
unit-testing,intent_confusion,83378,500.0,0.005996785722852551
network-programming,intent_confusion,46290,207.0,0.004471808165910564
sql-server-2008,intent_confusion,53388,381.0,0.007136435153967184
google-apps-script,intent_confusion,55235,238.0,0.004308862134516158
codeigniter,intent_confusion,68606,297.0,0.004329067428504796
csv,intent_confusion,89599,422.0,0.004709873994129398
asp.net-core,intent_confusion,83970,443.0,0.005275693700130999
winforms,terminology,98506,644.0,0.00653767283211175
docker,terminology,134308,567.0,0.004221639812967209
xcode,terminology,154984,809.0,0.005219893666442987
android,terminology,1369762,7582.0,0.005535268170674906
algorithm,terminology,120652,1641.0,0.01360110068627126
join,terminology,43617,231.0,0.005296100144439095
react-native,terminology,128353,479.0,0.003731895631578537
eclipse,terminology,122104,646.0,0.005290571971434187
security,terminology,54938,341.0,0.006206996978412028
session,terminology,43162,270.0,0.006255502525369538
intellij-idea,terminology,43094,185.0,0.004292941012669978
database,terminology,191655,1265.0,0.006600401763585609
hadoop,terminology,42753,211.0,0.00493532617594087
vue.js,terminology,105079,403.0,0.003835209699369046
web-scraping,terminology,50647,234.0,0.00462021442533615
wcf,terminology,49255,248.0,0.005035021825195412
exception,terminology,53044,316.0,0.005957318452605384
rust,terminology,43243,176.0,0.004070022893878778
ggplot2,terminology,57192,202.0,0.003531962512239474
visual-studio,terminology,113480,543.0,0.0047849841381741275
jsp,terminology,50776,312.0,0.006144635260753112
oracle-database,terminology,151528,872.0,0.005754712000422364
pdf,terminology,49715,202.0,0.004063160012068792
delphi,terminology,52166,245.0,0.004696545642755818
google-sheets,terminology,56009,218.0,0.0038922316056348087
validation,terminology,66475,349.0,0.005250094020308386
google-cloud-platform,terminology,49327,209.0,0.004237030429582176
shell,terminology,92444,414.0,0.004478386915321708
jenkins,terminology,48531,174.0,0.003585337207145948
jquery,terminology,1019869,5338.0,0.005234005543849259
ruby-on-rails,terminology,332737,1184.0,0.003558365916624842
android-layout,terminology,57721,302.0,0.005232064586545624
android-fragments,terminology,44296,285.0,0.006433989525013545
xml,terminology,211734,861.0,0.00406642296466321
listview,terminology,51694,288.0,0.005571246179440554
postgresql,terminology,176386,672.0,0.003809826176680689
reactjs,terminology,458000,1914.0,0.004179039301310044
laravel-5,terminology,42963,190.0,0.0044224099806810515
function,terminology,110867,727.0,0.006557406622349301
sockets,terminology,64863,464.0,0.007153538997579514
maven,terminology,87085,490.0,0.00562668657059195
dart,terminology,91883,342.0,0.003722124876201256
assembly,terminology,45018,368.0,0.008174507974587943
debugging,terminology,51219,294.0,0.005740057400574006
java,terminology,1886094,12933.0,0.006857028334748957
pandas,terminology,286913,1273.0,0.004436885048777852
dataframe,terminology,147743,632.0,0.004277698435797297
c++,terminology,808185,6679.0,0.00826419693510768
rest,terminology,89379,382.0,0.004273934593137091
mongoose,terminology,45398,179.0,0.0039429049737873915
parsing,terminology,57006,300.0,0.005262603936427745
excel,terminology,287052,1503.0,0.0052359851176790265
svg,terminology,43400,178.0,0.004101382488479263
batch-file,terminology,50174,166.0,0.0033084864670945113
swing,terminology,81100,541.0,0.006670776818742293
recursion,terminology,47171,348.0,0.007377414089164953
.net-core,terminology,44769,195.0,0.004355692555116263
regex,terminology,260714,1393.0,0.005343019553994032
python,terminology,2170613,11600.0,0.005344112469611119
list,terminology,141437,941.0,0.006653138853341064
r,terminology,503030,2087.0,0.0041488579209987475
mysql,terminology,653746,3820.0,0.00584324798928024
matplotlib,terminology,71474,319.0,0.004463161429330945
linux,terminology,223782,1224.0,0.005469608815722444
jpa,terminology,51084,276.0,0.005402865867982147
git,terminology,151498,819.0,0.005406011960553935
python-3.x,terminology,334600,1775.0,0.005304841601912732
if-statement,terminology,62016,384.0,0.006191950464396285
apache-spark,terminology,79214,396.0,0.004999116317822607
macos,terminology,114789,387.0,0.0033714031832318427
uitableview,terminology,63523,431.0,0.00678494403601845
date,terminology,76714,400.0,0.005214172119821676
express,terminology,92250,415.0,0.004498644986449865
angularjs,terminology,256144,1207.0,0.004712193141357986
c++11,terminology,56509,469.0,0.008299562901484718
linq,terminology,86457,562.0,0.006500341210081312
testing,terminology,48773,200.0,0.004100629446620056
c,terminology,406138,3703.0,0.009117590572662494
string,terminology,184554,1256.0,0.006805596194067861
math,terminology,44274,469.0,0.01059312463296743
ubuntu,terminology,58929,226.0,0.0038351236233433454
class,terminology,79472,692.0,0.008707469297362594
templates,terminology,55206,327.0,0.0059232692098684925
c#,terminology,1604093,9542.0,0.005948532909251521
windows,terminology,164410,747.0,0.004543519250653853
css,terminology,797816,3835.0,0.004806872762642012
visual-studio-code,terminology,58200,195.0,0.0033505154639175256
datetime,terminology,71120,363.0,0.0051040494938132735
web-services,terminology,57671,272.0,0.004716408593573893
matlab,terminology,93389,671.0,0.007185000374776472
asp.net-mvc,terminology,198120,986.0,0.004976781748435292
loops,terminology,96190,606.0,0.006300031188273209
forms,terminology,111770,578.0,0.005171333989442605
ssl,terminology,49006,188.0,0.003836264947149329
file,terminology,80566,565.0,0.007012883846784003
amazon-web-services,terminology,153870,727.0,0.004724767661012543
twitter-bootstrap,terminology,101416,389.0,0.0038356866766585153
variables,terminology,53667,360.0,0.00670803286936106
.htaccess,terminology,71696,300.0,0.0041843338540504356
oop,terminology,61995,584.0,0.009420114525364948
authentication,terminology,72662,320.0,0.004403952547411301
ionic-framework,terminology,46391,160.0,0.0034489448384384903
google-chrome,terminology,69216,239.0,0.0034529588534442904
