topic,n_miscomm,n_no_miscomm,n_total,miscomm_rate,ci_lower,ci_upper
unit-testing,10210,73168,83378,0.1224543644606491,0.1202292501633233,0.1246794787579749
facebook,7702,74142,81844,0.09410585992864474,0.092105492810778,0.09610622704651149
swing,12987,68113,81100,0.16013563501849568,0.15761160674884117,0.16265966328815018
file,13257,67309,80566,0.1645483206315319,0.16198804003027253,0.16710860123279128
class,14959,64513,79472,0.1882298167908194,0.1855120652071301,0.1909475683745087
apache-spark,8221,70993,79214,0.10378215971924155,0.10165831263867539,0.10590600679980772
tensorflow,7861,69980,77841,0.10098791125499415,0.09887116242327486,0.10310466008671344
sorting,13368,63481,76849,0.1739515153092428,0.1712713977838056,0.17663163283468
date,10730,65984,76714,0.13987016711421643,0.13741566556994683,0.14232466865848603
unity-game-engine,10244,64643,74887,0.13679276777010696,0.13433159581046694,0.13925393972974698
t-sql,11629,61919,73548,0.1581144286724316,0.15547759386813298,0.16075126347673024
go,8279,64489,72768,0.11377253737906773,0.11146538023531982,0.11607969452281564
authentication,8552,64110,72662,0.11769563182956704,0.11535252664699369,0.12003873701214038
symfony,7980,64666,72646,0.10984775486606282,0.10757382033661253,0.11212168939551312
for-loop,11915,59857,71772,0.1660118151925542,0.16328956526305027,0.16873406512205813
.htaccess,7956,63740,71696,0.11096853380941754,0.10866938491014312,0.11326768270869196
matplotlib,8246,63228,71474,0.11537062428295604,0.11302849789491867,0.1177127506709934
datetime,10249,60871,71120,0.14410854893138358,0.1415273919746444,0.14668970588812277
opencv,9537,61369,70906,0.1345020167545765,0.13199063921140833,0.13701339429774465
google-chrome,7253,61963,69216,0.10478791030975497,0.10250614285382431,0.10706967776568563
codeigniter,8163,60443,68606,0.11898376235314695,0.11656099994202761,0.12140652476426629
perl,11991,56042,68033,0.17625270089515382,0.17338943847983346,0.1791159633104742
validation,8465,58010,66475,0.12734110567882662,0.12480694897731963,0.1298752623803336
http,8195,58214,66409,0.1234019485310726,0.12090042921815419,0.125903467843991
sockets,10502,54361,64863,0.1619104882598708,0.15907557190321298,0.16474540461652865
object,11014,53686,64700,0.1702318392581144,0.1673358115684146,0.17312786694781418
google-maps,6389,58135,64524,0.09901741987477528,0.09671274625872323,0.10132209349082733
uitableview,9838,53685,63523,0.15487303811217984,0.15205958644514064,0.15768648977921904
xaml,7882,54336,62218,0.1266835963868977,0.12406996673350852,0.12929722604028684
if-statement,10227,51789,62016,0.16490905572755418,0.16198831278881182,0.16782979866629655
oop,11942,50053,61995,0.1926284377772401,0.18952405929418797,0.1957328162602922
ubuntu,5993,52936,58929,0.10169865431281712,0.09925825910234033,0.1041390495232939
cordova,4835,53394,58229,0.08303422693159766,0.08079297053805193,0.0852754833251434
visual-studio-code,5770,52430,58200,0.09914089347079037,0.09671288929224156,0.10156889764933918
email,6764,51201,57965,0.11669110670232037,0.11407745127167852,0.11930476213296222
android-layout,6959,50762,57721,0.12056270681381126,0.11790627861223625,0.12321913501538627
ms-access,8864,48832,57696,0.1536328341652801,0.1506904143035197,0.15657525402704048
web-services,6768,50903,57671,0.11735534324010334,0.1147285752665471,0.11998211121365958
spring-mvc,7035,50179,57214,0.12295941552766805,0.12026852731759027,0.12565030373774583
ggplot2,5795,51397,57192,0.1013253601902364,0.09885221991178068,0.10379850046869211
parsing,8587,48419,57006,0.15063326667368349,0.14769694346399667,0.1535695898833703
pointers,12541,44393,56934,0.22027259633962132,0.21686834311757203,0.2236768495616706
github,6827,49827,56654,0.12050340664383803,0.11782264917056684,0.12318416411710922
user-interface,7574,48948,56522,0.13400091999575386,0.13119251383964337,0.13680932615186436
kubernetes,5949,50564,56513,0.1052678144851627,0.10273748996872507,0.10779813900160033
c++11,11550,44959,56509,0.20439222070820579,0.20106731792137594,0.20771712349503563
selenium-webdriver,6763,49383,56146,0.12045381683468101,0.11776143737964567,0.12314619628971635
google-sheets,7824,48185,56009,0.13969183524076487,0.13682079224879445,0.14256287823273528
elasticsearch,5995,49936,55931,0.10718563944860632,0.10462187179178348,0.10974940710542916
google-apps-script,9278,45957,55235,0.1679732053951299,0.16485548220472607,0.1710909285855337
templates,9095,46111,55206,0.1647465855160671,0.16165215830216684,0.16784101272996738
ruby-on-rails-3,6274,48817,55091,0.11388430052095623,0.11123157150115481,0.11653702954075765
security,7892,47046,54938,0.14365284502530126,0.14071991504962422,0.1465857750009783
variables,9044,44623,53667,0.1685206924180595,0.16535364364033145,0.17168774119578756
machine-learning,7039,46482,53521,0.13151846938584855,0.12865516427687299,0.1343817744948241
flask,5939,47490,53429,0.11115686237810926,0.10849154917866867,0.11382217557754985
sql-server-2008,8189,45199,53388,0.15338652880797182,0.15032970475190374,0.1564433528640399
exception,8448,44596,53044,0.15926400723927306,0.15614995009518814,0.16237806438335797
tkinter,7570,44750,52320,0.14468654434250763,0.1416721578991525,0.14770093078586277
delphi,8957,43209,52166,0.1717018747843423,0.1684656166085213,0.17493813296016328
nginx,4944,47106,52050,0.09498559077809798,0.09246674072070897,0.097504440835487
listview,7188,44506,51694,0.13904901922853716,0.13606632193845128,0.14203171651862304
haskell,8603,42863,51466,0.16715890102203396,0.1639352969817535,0.17038250506231442
debugging,6661,44558,51219,0.13004939573205257,0.12713638563356688,0.13296240583053826
asynchronous,8411,42685,51096,0.16461171128855487,0.16139629523299648,0.16782712734411326
jpa,6927,44157,51084,0.13560018792576933,0.13263125011390972,0.13856912573762895
jsp,6603,44173,50776,0.13004175200882306,0.12711613521924628,0.13296736879839985
web-scraping,6418,44229,50647,0.12672024009319408,0.12382303727244921,0.12961744291393895
gradle,4897,45458,50355,0.09724952834872407,0.09466153959311255,0.09983751710433558
batch-file,7045,43129,50174,0.14041136843783633,0.13737144128762102,0.14345129558805164
generics,9106,40848,49954,0.18228770468831323,0.17890199365491122,0.18567341572171525
xamarin,5817,44074,49891,0.11659417530215871,0.11377797511134173,0.11941037549297569
pdf,5921,43794,49715,0.11909886352207583,0.1162515863690422,0.12194614067510945
google-cloud-platform,5431,43896,49327,0.11010197255053014,0.10733960545789398,0.1128643396431663
wcf,6102,43153,49255,0.12388589990863871,0.12097637429672825,0.12679542552054918
amazon-s3,5317,43806,49123,0.10823850334873684,0.10549105916497516,0.11098594753249853
ssl,5240,43766,49006,0.10692568256948129,0.10418968152196295,0.10966168361699963
testing,5361,43412,48773,0.10991737231665061,0.10714140296013377,0.11269334167316744
jenkins,4403,44128,48531,0.09072551564979085,0.08817011691157765,0.09328091438800405
npm,4261,43244,47505,0.08969582149247447,0.08712621995084437,0.09226542303410458
unix,6905,40456,47361,0.1457950634488292,0.14261674003238212,0.14897338686527628
recursion,8662,38509,47171,0.18362977252973225,0.1801356859926156,0.18712385906684892
ionic-framework,4157,42234,46391,0.08960789808368003,0.08700877653396469,0.09220701963339537
network-programming,6200,40090,46290,0.13393821559732125,0.1308355199741086,0.13704091122053388
google-app-engine,5230,40867,46097,0.11345640714146257,0.11056116893538823,0.11635164534753692
visual-studio-2010,5954,39713,45667,0.13037861037510676,0.12729028456691716,0.13346693618329636
mongoose,4738,40660,45398,0.10436583109388078,0.101553397959286,0.10717826422847557
assembly,9356,35662,45018,0.20782797991914345,0.20407976288084648,0.21157619695744043
.net-core,5551,39218,44769,0.1239920480689763,0.1209391077424921,0.1270449883954605
android-fragments,6248,38048,44296,0.14105111070977064,0.1378096128999138,0.14429260851962747
math,9461,34813,44274,0.21369200885395492,0.20987369013518198,0.21751032757272787
join,6878,36739,43617,0.15769080862966275,0.15427048551229094,0.16111113174703456
winapi,7326,36111,43437,0.16865805649561433,0.16513662250537145,0.1721794904858572
svg,4812,38588,43400,0.11087557603686636,0.10792157651046597,0.11382957556326675
rust,5739,37504,43243,0.13271512152255857,0.12951741019615376,0.13591283284896338
animation,4673,38567,43240,0.10807123034227567,0.10514483253400235,0.11099762815054899
session,6216,36946,43162,0.1440155692507298,0.14070316794936022,0.1473279705520994
intellij-idea,4425,38669,43094,0.10268250800575486,0.09981655563582296,0.10554846037568676
django-models,5703,37322,43025,0.13255084253341082,0.12934672164733807,0.13575496341948357
laravel-5,5040,37923,42963,0.11731024369806578,0.11426739202030047,0.1203530953758311
curl,4876,37971,42847,0.11380026606296824,0.11079326689473602,0.11680726523120046
hadoop,4128,38625,42753,0.09655462774542137,0.09375493565929559,0.09935431983154715
